Baseline_Even

CallMeMaybe_Baseline_Even.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,17.73188827272727,17.499996,4,0.2318922727272721,17.999996,-0.2681077272727279,23.999996,-6.268107727272728
3,35.46377654545454,35.499996,4,-0.03621945454545994,35.999996,-0.5362194545454599,31.999996,3.4637805454545436
4,53.19566481818181,52.999996,3,0.19566881818180804,53.999996,-0.804331181818192,63.999996,-10.804331181818192
5,70.92755309090909,70.999996,3,-0.07244290909090978,69.999996,0.9275570909090902,63.999996,6.927557090909083
6,88.65944136363636,88.499996,2,0.1594453636363653,87.999996,0.6594453636363653,91.999996,-3.3405546363636347
7,106.39132963636362,106.499996,2,-0.10866636363637383,105.999996,0.39133363636362617,91.999996,14.391333636363626
8,124.1232179090909,123.999996,1,0.12322190909090125,123.999996,0.12322190909090125,123.999996,0.12322190909090125
9,141.85510618181817,141.999996,1,-0.14488981818183788,141.999996,-0.14488981818183788,139.999996,1.8551101818181621
10,159.58699445454545,159.499996,4,0.0869984545454372,159.999996,-0.4130015454545628,171.999996,-12.413001545454563
11,177.31888272727272,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.12882726262626282,,0.4742341919191959,,6.620777606060604
Proximity Scores,,,,0.25765452525252563,,0.9484683838383918,,13.241555212121208
Percent of ground truth boundaries (0.5 sec),0.18181818181818182
Percent of ground truth boundaries found (0.5 sec),0.16666666666666666
Percent of ground truth boundaries (3 sec),0.2727272727272727
Percent of ground truth boundaries found (3 sec),0.25
Average time between beats,0.5
Rand Index Score,0.6313463177913305

Clocks_Baseline_Even.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0873983958333,NA,NA,NA,NA,NA,NA,NA
2,26.961140796296267,27.142045,4,-0.18090420370373295,27.60006,-0.6389192037037326,29.43212,-2.4709792037037346
3,53.83488319675923,53.706915,2,0.12796819675922677,53.2489,0.5859831967592299,58.74508,-4.910196803240773
4,80.70862559722221,80.7298,1,-0.02117440277778826,80.7298,-0.02117440277778826,73.40156,7.307065597222206
5,107.58236799768517,107.752685,4,-0.1703170023148317,108.2107,-0.6283320023148349,117.371,-9.788632002314827
6,134.45611039814813,134.317555,2,0.138555398148128,133.85954,0.596570398148117,146.68396,-12.227849601851887
7,161.3298527986111,161.34044,1,-0.010587201388887024,161.34044,-0.010587201388887024,146.68396,14.6458927986111
8,188.20359519907407,188.363325,4,-0.15972980092593048,188.82134,-0.6177448009259194,175.99692,12.206675199074084
9,215.07733759953703,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.11560517228836074,,0.44275874371692986,,9.079613029431231
Proximity Scores,,,,0.2539184399394495,,0.9724877118276861,,19.942716489677302
Percent of ground truth boundaries (0.5 sec),0.1111111111111111
Percent of ground truth boundaries found (0.5 sec),0.1
Percent of ground truth boundaries (3 sec),0.2222222222222222
Percent of ground truth boundaries found (3 sec),0.2
Average time between beats,0.4552846666667
Rand Index Score,0.7249114521841794

CoolerThanMe_Baseline_Even.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.24,NA,NA,NA,NA,NA,NA,NA
2,26.25920475,26.086128,4,0.1730767499999999,26.547666,-0.288461250000001,32.086122,-5.826917250000005
3,52.2784095,52.393794,1,-0.11538449999999756,52.393794,-0.11538449999999756,46.3938,5.884609500000003
4,78.29761425,78.239922,1,0.05769224999998812,78.239922,0.05769224999998812,75.932232,2.365382249999996
5,104.316819,104.08605,1,0.23076899999999512,104.08605,0.23076899999999512,105.470664,-1.153845000000004
6,130.33602375,130.393716,2,-0.05769225000000233,129.932178,0.4038457500000163,135.470634,-5.13461024999998
7,156.3552285,156.239844,2,0.11538450000000466,155.778306,0.5769225000000233,149.778312,6.57691650000001
8,182.37443325,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.12499987499999794,,0.2788458750000036,,4.490380125
Proximity Scores,,,,0.2708333333333289,,0.6041666666666744,,9.729166666666666
Percent of ground truth boundaries (0.5 sec),0.125
Percent of ground truth boundaries found (0.5 sec),0.1111111111111111
Percent of ground truth boundaries (3 sec),0.5
Percent of ground truth boundaries found (3 sec),0.4444444444444444
Average time between beats,0.461538
Rand Index Score,0.7066500645637336

Dynamite_Baseline_Even.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0404255083333,NA,NA,NA,NA,NA,NA,NA
2,19.64063815749997,19.542552,4,0.09808615749997074,20.042552,-0.40191384250002926,7.542552,12.09808615749997
3,39.24085080666664,39.042552,3,0.19829880666664224,40.042552,-0.8017011933333578,32.042552,7.198298806666642
4,58.841063455833314,59.042552,3,-0.20148854416668627,58.042552,0.7985114558333137,63.542552,-4.701488544166686
5,78.44127610499999,78.542552,2,-0.10127589500001477,78.042552,0.39872410499998523,88.042552,-9.601275895000015
6,98.04148875416666,98.042552,1,-0.0010632458333361683,98.042552,-0.0010632458333361683,103.542552,-5.501063245833336
7,117.64170140333333,117.542552,4,0.09914940333332822,118.042552,-0.4008505966666718,120.042552,-2.4008505966666718
8,137.2419140525,137.042552,3,0.19936205249999261,138.042552,-0.8006379475000074,120.042552,17.199362052499993
9,156.84212670166667,157.042552,3,-0.20042529833332878,156.042552,0.7995747016666712,164.042552,-7.200425298333329
10,176.44233935083335,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.13739367541666248,,0.5503721360416716,,8.23760632458333
Proximity Scores,,,,0.27655274139002867,,1.1078160806560031,,16.581058805266352
Percent of ground truth boundaries (0.5 sec),0.1
Percent of ground truth boundaries found (0.5 sec),0.09090909090909091
Percent of ground truth boundaries (3 sec),0.2
Percent of ground truth boundaries found (3 sec),0.18181818181818182
Average time between beats,0.49680822083369997
Rand Index Score,0.6972659292724723

Fireflies_Baseline_Even.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,18.792594958333336,18.66662,1,0.12597495833333383,18.66662,0.12597495833333383,26.6666,-7.874005041666663
3,37.58518991666667,37.333848,1,0.25134191666666794,37.333848,0.25134191666666794,48.000488,-10.415298083333326
4,56.377784875,56.668673,2,-0.29088812499999506,56.002008,0.3757768750000068,48.000488,8.377296875000006
5,75.17037983333334,75.333113,2,-0.16273316666665494,74.666448,0.5039318333333398,69.335308,5.835071833333345
6,93.96297479166668,93.999733,2,-0.03675820833332466,93.333068,0.6299067916666843,90.666408,3.2965667916666774
7,112.75556975,112.666353,2,0.08921675000000562,111.999688,0.7558817500000004,114.666348,-1.9107782499999928
8,131.54816470833336,131.333581,2,0.2145837083333504,130.666916,0.8812487083333735,135.999284,-4.451119291666629
9,150.34075966666668,150.666278,3,-0.3255183333333207,149.332948,1.0078116666666972,157.332928,-6.992168333333325
10,169.133354625,169.332898,3,-0.19954337499999042,167.999568,1.133786624999999,178.666208,-9.532853375000002
11,187.92594958333336,187.999518,3,-0.07356841666663172,186.666188,1.2597615833333577,178.666208,9.259741583333351
12,206.7185445416667,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.17701269583332752,,0.6925422708333461,,6.794489945833331
Proximity Scores,,,,0.26551970754926013,,1.0388160032900273,,10.191760398150992
Percent of ground truth boundaries (0.5 sec),0.08333333333333333
Percent of ground truth boundaries found (0.5 sec),0.07692307692307693
Percent of ground truth boundaries (3 sec),0.16666666666666666
Percent of ground truth boundaries found (3 sec),0.15384615384615385
Average time between beats,0.6666650000000001
Rand Index Score,0.6078135117634362

OverMyHead_Baseline_Even.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.1153845,NA,NA,NA,NA,NA,NA,NA
2,19.080887833333335,19.2533015,2,-0.1724136666666638,18.7360605,0.3448273333333347,4.2533125,14.827575333333336
3,38.046391166666666,37.8739775,2,0.1724136666666638,37.3567365,0.6896546666666694,37.3567365,0.6896546666666694
4,57.011894500000004,57.0118945,3,7.105427357601002e-15,58.0463765,-1.034481999999997,53.9084485,3.1034460000000053
5,75.97739783333334,76.1498115,4,-0.1724136666666567,76.6670525,-0.6896546666666552,62.1843045,13.793093333333339
6,94.94290116666667,94.7704875,4,0.1724136666666709,95.2877285,-0.3448273333333276,95.2877285,-0.3448273333333276
7,113.90840450000002,113.9084045,1,1.4210854715202004e-14,113.9084045,1.4210854715202004e-14,111.8394405,2.0689640000000225
8,132.87390783333333,133.0463215,2,-0.1724136666666709,132.5290805,0.3448273333333418,128.3911525,4.48275533333333
9,151.83941116666668,151.6669975,2,0.1724136666666709,151.1497565,0.6896546666666836,144.9428645,6.896546666666666
10,170.80491450000002,170.8049145,3,2.842170943040401e-14,171.8393965,-1.0344819999999686,161.4945765,9.31033800000003
11,189.77041783333334,189.9428315,4,-0.1724136666666709,190.4600725,-0.6896546666666552,194.5980005,-4.827582666666672
12,208.73592116666669,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.12068956666667177,,0.5862064666666648,,6.03447833333334
Proximity Scores,,,,0.23333333333334322,,1.1333333333333298,,11.66666666666668
Percent of ground truth boundaries (0.5 sec),0.16666666666666666
Percent of ground truth boundaries found (0.5 sec),0.15384615384615385
Percent of ground truth boundaries (3 sec),0.4166666666666667
Percent of ground truth boundaries found (3 sec),0.38461538461538464
Average time between beats,0.517241
Rand Index Score,0.700597647966069

Solo_Baseline_Even.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.05769225,NA,NA,NA,NA,NA,NA,NA
2,24.980744249999997,24.98074425,3,-3.552713678800501e-15,24.05766825,0.9230759999999982,22.21151625,2.7692279999999982
3,49.90379625,49.90379625,1,0.0,49.90379625,0.0,51.74994825,-1.8461520000000036
4,74.82684825,74.82684825,3,0.0,73.90377225,0.9230759999999947,81.28838025,-6.461532000000005
5,99.74990025,99.74990025,1,0.0,99.74990025,0.0,110.82681225,-11.076912000000007
6,124.67295225,124.67295225,3,0.0,123.74987625,0.9230759999999947,125.59602825,-0.9230760000000089
7,149.59600425,149.59600425,1,0.0,149.59600425,0.0,155.13446025,-5.5384559999999965
8,174.51905625,NA,NA,NA,NA,NA,NA,NA
Averages,,,,5.921189464667501e-16,,0.46153799999999795,,4.769226000000003
Proximity Scores,,,,1.282925666936959e-15,,0.9999999999999956,,10.333333333333341
Percent of ground truth boundaries (0.5 sec),0.125
Percent of ground truth boundaries found (0.5 sec),0.1111111111111111
Percent of ground truth boundaries (3 sec),0.5
Percent of ground truth boundaries found (3 sec),0.4444444444444444
Average time between beats,0.461538
Rand Index Score,0.7136308106950794

Average Distance to Nearest Beat (Average),0.11493260683304055
Average Distance to Nearest Beat (Proximity Score),0.2225445829711339
Average Distance to Nearest Downbeat (Average),0.49807109773968705
Average Distance to Nearest Downbeat (Proximity Score),0.9721554542303013
Average Distance to Nearest GT Segment (Average),6.575224480605978
Average Distance to Nearest GT Segment (Proximity Score),13.098036795983221
Average Percent of Ground Truth Boundaries (0.5),0.12756132756132757
Average Percent of Ground Truth Boundaries Found (0.5),0.5246753246753247
Average Percent of Ground Truth Boundaries (3),0.3254689754689755
Average Percent of Ground Truth Boundaries Found (3),0.2941669441669442
Average Rand Index Score,0.6831736763194716
