Baseline_Random

Bulletproof_Baseline_Random.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,35.99414411514773,NA,NA,NA,NA,NA,NA,NA
2,62.93582493716665,62.668658,3,0.26716693716664963,64.001988,-1.066163062833347,69.335308,-6.3994830628333474
3,69.72618198902218,70.001428,2,-0.2752460109778241,69.335308,0.3908739890221824,69.335308,0.3908739890221824
4,80.12445661696125,79.999768,1,0.12468861696125089,79.999768,0.12468861696125089,90.666408,-10.54195138303875
5,82.83966827548687,82.666428,1,0.17324027548687582,82.666428,0.17324027548687582,90.666408,-7.826739724513132
6,111.22092356808265,111.333023,4,-0.1120994319173434,111.999688,-0.7787644319173523,114.666348,-3.4454244319173455
7,114.27790765597864,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.19048825450198875,,0.5067460752442017,,5.720894518264951
Proximity Scores,,,,0.28573309608572334,,0.7601210131688354,,8.581363230805502
Percent of ground truth boundaries,0.2857142857142857
Percent of ground truth boundaries found,0.15384615384615385
Average time between beats,0.6666650000000001

CallMeMaybe_Baseline_Random.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,17.612880251784183,NA,NA,NA,NA,NA,NA,NA
2,55.986199603402234,56.002008,1,-0.015808396597762453,56.002008,-0.015808396597762453,48.000488,7.985711603402237
3,57.963199522540485,58.002003,4,-0.038803477459516955,58.668668,-0.7054684774595117,48.000488,9.962711522540488
4,73.69153176620976,73.999783,4,-0.3082512337902301,74.666448,-0.9749162337902391,69.335308,4.356223766209766
5,81.4704279882454,81.333098,3,0.13732998824539777,82.666428,-1.1960000117545917,90.666408,-9.1959800117546
6,102.6275970968808,102.666378,3,-0.03878090311918925,101.333048,1.2945490968808002,90.666408,11.961189096880801
7,109.29956577808315,109.333028,1,-0.033462221916849444,109.333028,-0.033462221916849444,114.666348,-5.36678222191685
8,145.36999302992726,145.332594,3,0.03739902992725774,146.665924,-1.2959309700727317,135.999284,9.37070902992727
9,159.46599725108953,159.332923,4,0.13307425108953908,159.999588,-0.5335907489104557,157.332928,2.1330692510895233
10,165.55410025767375,165.332908,1,0.22119225767374928,165.332908,0.22119225767374928,157.332928,8.221172257673743
11,175.5807404547719,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.10712241775772134,,0.6967687127840768,,7.617060973488364
Proximity Scores,,,,0.16068402834665285,,1.0451556820653203,,11.425620024282606
Percent of ground truth boundaries,0.09090909090909091
Percent of ground truth boundaries found,0.07692307692307693
Average time between beats,0.6666650000000001

Clocks_Baseline_Random.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,39.79384932009683,NA,NA,NA,NA,NA,NA,NA
2,52.585445771081936,52.668683,4,-0.0832372289180654,53.335348,-0.7499022289180672,48.000488,4.584957771081939
3,68.73302459102548,68.668643,4,0.06438159102548013,69.335308,-0.6022834089745146,69.335308,-0.6022834089745146
4,86.56665093324452,86.666418,3,-0.09976706675547575,85.333088,1.2335629332445137,90.666408,-4.099757066755487
5,101.00535373353927,101.333048,1,-0.32769426646073896,101.333048,-0.32769426646073896,90.666408,10.338945733539262
6,159.948995225509,159.999588,1,-0.050592774490979764,159.999588,-0.050592774490979764,157.332928,2.616067225508999
7,172.80580390907116,172.666223,4,0.1395809090711566,173.332888,-0.5270840909288381,178.666208,-5.860404090928853
8,206.79725797682627,206.666138,3,0.13111997682628385,207.999468,-1.202210023173734,199.999488,6.79776997682626
9,219.89722521926512,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.12805340193545436,,0.670475675170198,,4.985740753373617
Proximity Scores,,,,0.1920805831046393,,1.0057160270453644,,7.478629826634991
Percent of ground truth boundaries,0.3333333333333333
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

CoolerThanMe_Baseline_Random.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,80.48876827879509,NA,NA,NA,NA,NA,NA,NA
2,108.48688053196177,108.666363,4,-0.17948246803823054,109.333028,-0.8461474680382253,114.666348,-6.179467468038226
3,128.98211998856453,128.666921,2,0.3151989885645321,128.000256,0.9818639885645268,135.999284,-7.0171640114354545
4,138.66458574367803,138.665944,1,-0.0013582563219642907,138.665944,-0.0013582563219642907,135.999284,2.665301743678043
5,140.69803062949998,140.665939,4,0.03209162949997335,141.332604,-0.6345733705000214,135.999284,4.698746629499993
6,154.52742289701112,154.666268,1,-0.1388451029888813,154.666268,-0.1388451029888813,157.332928,-2.8055051029888887
7,156.11109871168944,155.999598,3,0.11150071168944464,157.332928,-1.2218292883105732,157.332928,-1.2218292883105732
8,183.88531408640327,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.12974619285050437,,0.6374362457873654,,4.098002373991863
Proximity Scores,,,,0.1946197758251961,,0.9561567590729456,,6.147018928535116
Percent of ground truth boundaries,0.375
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

Dynamite_Baseline_Random.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,2.478691979822399,NA,NA,NA,NA,NA,NA,NA
2,2.7484809625862807,5.33332,1,-2.584839037413719,5.33332,-2.584839037413719,5.33332,-2.584839037413719
3,43.79864682876119,44.000498,3,-0.20185117123880758,42.667168,1.131478828761196,48.000488,-4.201841171238804
4,59.07021096323757,59.335333,2,-0.2651220367624276,58.668668,0.4015429632375742,69.335308,-10.265097036762427
5,64.79919826493133,64.668653,2,0.13054526493132812,64.001988,0.7972102649313371,69.335308,-4.536109735068663
6,76.48294054705056,76.666443,4,-0.18350245294944045,77.333108,-0.8501674529494352,69.335308,7.147632547050563
7,80.3717639317523,80.666433,2,-0.2946690682476998,79.999768,0.37199593175229495,90.666408,-10.294644068247706
8,80.8063798096002,80.666433,2,0.1399468096002039,79.999768,0.8066118096001986,90.666408,-9.860028190399802
9,131.81612083225707,132.000246,3,-0.18412516774293408,130.666916,1.1492048322570838,135.999284,-4.183163167742919
10,148.11108225313137,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.49807512611082005,,1.0116313901128549,,6.634169369240576
Proximity Scores,,,,0.7471145569526224,,1.517450878796479,,9.951278932058193
Percent of ground truth boundaries,0.2
Percent of ground truth boundaries found,0.15384615384615385
Average time between beats,0.6666650000000001

Fireflies_Baseline_Random.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,10.064428316675539,NA,NA,NA,NA,NA,NA,NA
2,27.960226869061398,28.00008,3,-0.03985313093860299,26.6666,1.2936268690613986,26.6666,1.2936268690613986
3,28.36613258413709,28.66682,4,-0.30068741586291026,29.33356,-0.9674274158629075,26.6666,1.699532584137092
4,63.31426967364064,63.335323,4,-0.021053326359364632,64.001988,-0.6877183263593594,69.335308,-6.02103832635936
5,72.80971792304535,72.666453,2,0.14326492304535066,71.999788,0.8099299230453596,69.335308,3.474409923045357
6,117.90306192563591,118.000281,2,-0.09721907436409083,117.333616,0.5694459256359039,114.666348,3.236713925635911
7,132.09021497246306,132.000246,3,0.0899689724630548,133.333576,-1.2433610275369347,135.999284,-3.9090690275369298
8,154.9162785241107,154.666268,1,0.25001052411070646,154.666268,0.25001052411070646,157.332928,-2.416649475889301
9,168.7126280672072,168.666233,2,0.046395067207186,167.999568,0.7130600672071807,178.666208,-9.95357993279282
10,173.82856899329954,173.999553,2,-0.17098400670045066,173.332888,0.49568099329954407,178.666208,-4.837639006700471
11,184.3791996589626,184.666193,2,-0.2869933410374017,183.999528,0.37967165896259303,178.666208,5.712991658962579
12,189.59600223859917,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.1446429782089119,,0.7409932731081887,,4.255525073012121
Proximity Scores,,,,0.21696500972589214,,1.111492688394004,,6.383303567777101
Percent of ground truth boundaries,0.25
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

OverMyHead_Baseline_Random.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,8.945661483099519,NA,NA,NA,NA,NA,NA,NA
2,31.176183465461207,31.333969,4,-0.1577855345387924,32.000772,-0.8245885345387904,26.6666,4.509583465461208
