Librosa_AgglomerativeCQT_Cluster4

Bulletproof_Librosa_AgglomerativeCQT_Cluster 4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.046439909297052155,NA,NA,NA,NA,NA,NA,NA
2,49.31918367346939,49.334588,3,-0.015404326530607193,48.000488,1.3186956734693922,48.000488,1.3186956734693922
3,64.92299319727891,64.668653,2,0.254340197278907,64.001988,0.9210051972789159,69.335308,-4.412314802721085
4,103.70031746031746,103.999708,1,-0.29939053968253404,103.999708,-0.29939053968253404,114.666348,-10.966030539682535
5,135.04725623582766,135.332857,4,-0.2856007641723295,135.999284,-0.9520277641723283,135.999284,-0.9520277641723283
6,150.76716553287983,150.666278,3,0.100887532879824,151.999608,-1.2324424671201655,157.332928,-6.56576246712018
7,166.1619954648526,165.999573,2,0.1624224648525967,165.332908,0.8290874648525914,157.332928,8.829067464852585
8,197.34639455782312,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.1863409708994664,,0.9254415177626546,,5.507316452003018
Proximity Scores,,,,0.27951215512958744,,1.3881657470583495,,8.260995330492852
Percent of ground truth boundaries,0.5
Percent of ground truth boundaries found,0.3076923076923077
Average time between beats,0.6666650000000001

CallMeMaybe_Librosa_AgglomerativeCQT_Cluster 4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.666645,2,0.11049785714285676,7.99998,0.7771628571428577,5.33332,3.443822857142858
3,32.507936507936506,32.667287,2,-0.1593504920634956,32.000772,0.5071645079365084,26.6666,5.841336507936507
4,64.27283446712018,64.001988,1,0.27084646712017957,64.001988,0.27084646712017957,69.335308,-5.062473532879821
5,64.76045351473923,64.668653,2,0.09180051473921935,64.001988,0.7584655147392283,69.335308,-4.574854485260772
6,68.4756462585034,68.668643,4,-0.19299674149660007,69.335308,-0.8596617414965948,69.335308,-0.8596617414965948
7,92.5082993197279,92.666403,4,-0.15810368027210586,93.333068,-0.8247686802721006,90.666408,1.8418913197278926
8,139.52870748299318,139.332609,2,0.1960984829931931,138.665944,0.8627634829931878,135.999284,3.529423482993195
9,156.50249433106575,156.666263,4,-0.1637686689342388,157.332928,-0.830433668934262,157.332928,-0.830433668934262
10,188.56925170068027,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.16793286309523614,,0.7114083650793649,,3.247987199546488
Proximity Scores,,,,0.2518999243926652,,1.0671152154070858,,4.8719929793021794
Percent of ground truth boundaries,0.4
Percent of ground truth boundaries found,0.3076923076923077
Average time between beats,0.6666650000000001

Clocks_Librosa_AgglomerativeCQT_Cluster 4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,NA,NA,NA,NA,NA,NA,NA
2,15.232290249433106,15.333295,4,-0.10100475056689362,15.99996,-0.7676697505668937,5.33332,9.898970249433106
3,30.789659863945577,30.667166,3,0.12249386394557504,32.000772,-1.211112136054421,26.6666,4.123059863945578
4,59.187664399092974,59.335333,2,-0.14766860090702494,58.668668,0.5189963990929769,69.335308,-10.147643600907024
5,89.44326530612246,89.333078,3,0.1101873061224552,90.666408,-1.2231426938775485,90.666408,-1.2231426938775485
6,117.84126984126983,118.000281,2,-0.15901115873016636,117.333616,0.5076538412698284,114.666348,3.1749218412698355
7,147.16807256235828,147.33268,2,-0.16460743764173458,146.665924,0.5021485623582862,157.332928,-10.164855437641734
8,176.4716553287982,176.666213,2,-0.19455767120180667,175.999548,0.47210732879818806,178.666208,-2.1945526712018193
9,191.12344671201814,191.332843,4,-0.2093962879818605,191.999508,-0.8760612879818552,199.999488,-8.876041287981877
10,235.56643990929706,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.1511158846371896,,0.7598614999999997,,6.225398455782315
Proximity Scores,,,,0.2266743936417685,,1.1397950994877482,,9.338121028976044
Percent of ground truth boundaries,0.3
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

CoolerThanMe_Librosa_AgglomerativeCQT_Cluster 4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,NA,NA,NA,NA,NA,NA,NA
2,15.975328798185942,15.99996,1,-0.0246312018140582,15.99996,-0.0246312018140582,5.33332,10.642008798185941
3,32.55437641723356,32.667287,2,-0.11291058276643895,32.000772,0.553604417233565,26.6666,5.887776417233564
4,58.83936507936508,58.668668,1,0.17069707936508394,58.668668,0.17069707936508394,69.335308,-10.495942920634917
5,62.0669387755102,62.001993,2,0.06494577551020342,61.335328,0.7316107755102053,69.335308,-7.2683692244897955
6,73.60725623582766,73.333118,3,0.27413823582766383,74.666448,-1.0591917641723398,69.335308,4.271948235827665
7,77.7404081632653,77.999773,2,-0.25936483673470434,77.333108,0.4073001632653046,69.335308,8.405100163265303
8,88.35192743764172,88.666413,2,-0.3144855623582856,87.999748,0.3521794376417233,90.666408,-2.314480562358284
9,91.13832199546485,91.333073,2,-0.19475100453514926,90.666408,0.47191399546484547,90.666408,0.47191399546484547
10,117.40009070294785,117.333616,1,0.06647470294784341,117.333616,0.06647470294784341,114.666348,2.7337427029478505
11,121.09206349206349,121.333606,3,-0.241542507936515,120.000276,1.0917874920634887,114.666348,6.425715492063489
12,132.63238095238094,132.666911,4,-0.034530047619057314,133.333576,-0.701195047619052,135.999284,-3.366903047619047
13,149.69904761904763,149.999613,2,-0.30056538095237784,149.332948,0.3660996190476453,157.332928,-7.633880380952377
