Librosa_AgglomerativeCQT_Cluster5

Bulletproof_Librosa_AgglomerativeCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.046439909297052155,NA,NA,NA,NA,NA,NA,NA
2,16.114648526077097,15.99996,1,0.11468852607709756,15.99996,0.11468852607709756,26.6666,-10.551951473922902
3,46.37024943310658,46.667158,3,-0.29690856689342127,45.333828,1.0364214331065824,48.000488,-1.6302385668934178
4,48.83156462585034,48.667538,2,0.16402662585034022,48.000488,0.8310766258503435,48.000488,0.8310766258503435
5,63.947755102040816,64.001988,1,-0.054232897959181514,64.001988,-0.054232897959181514,69.335308,-5.387552897959182
6,71.26204081632653,71.333668,4,-0.07162718367347054,71.999788,-0.7377471836734628,69.335308,1.9267328163265347
7,103.70031746031746,103.999708,1,-0.29939053968253404,103.999708,-0.29939053968253404,114.666348,-10.966030539682535
8,135.04725623582766,135.332857,4,-0.2856007641723295,135.999284,-0.9520277641723283,135.999284,-0.9520277641723283
9,150.25632653061226,149.999613,2,0.2567135306122452,149.332948,0.9233785306122684,157.332928,-7.076601469387754
10,165.74403628117915,165.999573,2,-0.2555367188208493,165.332908,0.41112828117914546,157.332928,8.41110828117914
11,196.85877551020408,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.199858372637941,,0.5955657535903272,,5.303702270597126
Proximity Scores,,,,0.29978830842768256,,0.89335086376265,,7.955573294828926
Percent of ground truth boundaries,0.45454545454545453
Percent of ground truth boundaries found,0.38461538461538464
Average time between beats,0.6666650000000001

CallMeMaybe_Librosa_AgglomerativeCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.666645,2,0.11049785714285676,7.99998,0.7771628571428577,5.33332,3.443822857142858
3,31.997097505668933,32.000772,1,-0.003674494331065148,32.000772,-0.003674494331065148,26.6666,5.330497505668934
4,64.76045351473923,64.668653,2,0.09180051473921935,64.001988,0.7584655147392283,69.335308,-4.574854485260772
5,68.4756462585034,68.668643,4,-0.19299674149660007,69.335308,-0.8596617414965948,69.335308,-0.8596617414965948
6,92.02068027210885,91.999738,3,0.020942272108854354,93.333068,-1.3123877278911493,90.666408,1.3542722721088438
7,140.08598639455784,139.999274,3,0.08671239455782143,141.332604,-1.246617605442168,135.999284,4.086702394557847
8,156.0148752834467,155.999598,3,0.015277283446721412,157.332928,-1.3180527165532965,157.332928,-1.3180527165532965
9,188.56925170068027,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.0745573654033055,,0.8965746653709086,,2.9954091389698783
Proximity Scores,,,,0.11183632769577748,,1.3448653602197633,,4.49312494126717
Percent of ground truth boundaries,0.4444444444444444
Percent of ground truth boundaries found,0.3076923076923077
Average time between beats,0.6666650000000001

Clocks_Librosa_AgglomerativeCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,NA,NA,NA,NA,NA,NA,NA
2,15.232290249433106,15.333295,4,-0.10100475056689362,15.99996,-0.7676697505668937,5.33332,9.898970249433106
3,30.789659863945577,30.667166,3,0.12249386394557504,32.000772,-1.211112136054421,26.6666,4.123059863945578
4,59.187664399092974,59.335333,2,-0.14766860090702494,58.668668,0.5189963990929769,69.335308,-10.147643600907024
5,89.44326530612246,89.333078,3,0.1101873061224552,90.666408,-1.2231426938775485,90.666408,-1.2231426938775485
6,117.84126984126983,118.000281,2,-0.15901115873016636,117.333616,0.5076538412698284,114.666348,3.1749218412698355
7,147.16807256235828,147.33268,2,-0.16460743764173458,146.665924,0.5021485623582862,157.332928,-10.164855437641734
8,176.4716553287982,176.666213,2,-0.19455767120180667,175.999548,0.47210732879818806,178.666208,-2.1945526712018193
