Librosa_GMMCQT_Cluster5

CallMeMaybe_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,4,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,3,8.999996,3,-0.22285314285714186,7.999996,0.7771468571428573,4.0,4.777142857142858
3,24.473832199546486,1,24.499996,2,-0.02616380045351363,23.999996,0.47383619954648637,23.999996,0.47383619954648637
4,32.507936507936506,0,32.499996,2,0.007940507936503138,31.999996,0.5079405079365067,31.999996,0.5079405079365067
5,64.76045351473923,4,64.999996,3,-0.23954248526077038,63.999996,0.7604575147392225,63.999996,0.7604575147392225
6,68.4756462585034,1,68.499996,2,-0.02434974149659297,67.999996,0.47565025850340703,63.999996,4.4756502585034
7,92.5082993197279,0,92.499996,2,0.008303319727900771,91.999996,0.5083033197279008,91.999996,0.5083033197279008
8,140.08598639455784,2,139.999996,1,0.08599039455782531,139.999996,0.08599039455782531,139.999996,0.08599039455782531
9,156.50249433106575,0,156.499996,2,0.0024983310657376023,155.999996,0.5024983310657376,171.999996,-15.497501668934262
10,188.56925170068027,4,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.07720521541949821,,0.5114779229024929,,3.3858528401360575
Proximity Scores,,,,0.15441043083899642,,1.0229558458049859,,6.771705680272115
Percent precision (0.5 sec),0.3
Percent recall (0.5 sec),0.25
Percent precision (3 sec),0.7
Percent recall (3 sec),0.5833333333333334
Percent precision (2 beats),0.7
Percent recall (2 beats),0.5833333333333334
Average time between beats,0.5
Rand Index Score,0.7332939864909175

Clocks_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,2,NA,NA,NA,NA,NA,NA,NA
2,15.232290249433106,0,15.233655,2,-0.001364750566894557,14.77564,0.45665024943310684,29.43212,-14.199829750566895
3,30.789659863945577,1,30.806165,4,-0.016505136054423275,31.26418,-0.4745201360544229,29.43212,1.3575398639455756
4,59.65206349206349,0,59.66111,3,-0.009046507936510295,58.74508,0.9069834920634889,58.74508,0.9069834920634889
5,89.44326530612246,1,89.432085,4,0.011180306122454908,89.8901,-0.44683469387754826,88.05804,1.3852253061224502
6,118.28244897959183,0,118.28703,3,-0.0045810204081675465,117.371,0.9114489795918388,117.371,0.9114489795918388
7,147.16807256235828,3,147.141975,2,0.026097562358273763,146.68396,0.4841125623582627,146.68396,0.4841125623582627
8,176.4716553287982,2,176.454935,2,0.0167203287981863,175.99692,0.4747353287982037,175.99692,0.4747353287982037
9,191.12344671201814,0,191.111415,2,0.01203171201814257,190.6534,0.47004671201813153,205.30988,-14.186433287981856
10,235.56643990929706,2,235.53887,3,0.027569909297056938,236.4549,-0.8884600907029494,241.95108,-6.384640090702931
11,243.8095238095238,4,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.013899692617790017,,0.6126435827664393,,4.476772073570166
Proximity Scores,,,,0.030529674367367962,,1.3456275328835903,,9.832907631935417
Percent precision (0.5 sec),0.2727272727272727
Percent recall (0.5 sec),0.3
Percent precision (3 sec),0.7272727272727273
Percent recall (3 sec),0.8
Percent precision (2 beats),0.36363636363636365
Percent recall (2 beats),0.4
Average time between beats,0.4552846666667
Rand Index Score,0.7672860736101843

CoolerThanMe_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,3,NA,NA,NA,NA,NA,NA,NA
2,15.975328798185942,1,15.932292,2,0.043036798185941194,15.470754,0.5045747981859421,0.24,15.735328798185941
3,32.55437641723356,4,32.54766,2,0.006716417233562311,32.086122,0.46825441723355965,32.086122,0.46825441723355965
4,46.34702947845805,2,46.3938,4,-0.04677052154195138,46.855338,-0.5083085215419558,46.3938,-0.04677052154195138
5,47.322267573696145,0,47.316876,2,0.005391573696144292,46.855338,0.46692957369614163,46.3938,0.9284675736961461
6,55.147392290249435,2,55.163022,3,-0.01562970975056288,54.239946,0.9074462902494318,46.3938,8.753592290249436
7,62.0669387755102,0,62.086092,2,-0.019153224489798504,61.624554,0.44238477551019884,75.932232,-13.865293224489797
8,72.67845804988661,2,72.701466,1,-0.023007950113381526,72.701466,-0.023007950113381526,75.932232,-3.253773950113384
9,79.13360544217687,0,79.162998,3,-0.02939255782312955,78.239922,0.8936834421768651,75.932232,3.201373442176873
10,87.42312925170069,2,87.470682,1,-0.04755274829931011,87.470682,-0.04755274829931011,75.932232,11.490897251700687
11,91.57950113378685,0,91.624524,2,-0.04502286621314511,91.162986,0.4165151337868451,105.470664,-13.89116286621315
