Librosa_KmeansMel_Cluster3

CallMeMaybe_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.999996,3,-0.22285314285714186,7.999996,0.7771468571428573,4.0,4.777142857142858
3,31.997097505668933,31.999996,1,-0.0028984943310668143,31.999996,-0.0028984943310668143,31.999996,-0.0028984943310668143
4,64.76045351473923,64.999996,3,-0.23954248526077038,63.999996,0.7604575147392225,63.999996,0.7604575147392225
5,92.5082993197279,92.499996,2,0.008303319727900771,91.999996,0.5083033197279008,91.999996,0.5083033197279008
6,188.56925170068027,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.11839936054421996,,0.5122015464852618,,1.512200546485262
Proximity Scores,,,,0.2367987210884399,,1.0244030929705237,,3.024401092970524
Percent of ground truth boundaries (0.5 sec),0.3333333333333333
Percent of ground truth boundaries found (0.5 sec),0.16666666666666666
Percent of ground truth boundaries (3 sec),0.8333333333333334
Percent of ground truth boundaries found (3 sec),0.4166666666666667
Average time between beats,0.5
Rand Index Score,0.7776116466653551

Clocks_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,NA,NA,NA,NA,NA,NA,NA
2,15.232290249433106,15.233655,2,-0.001364750566894557,14.77564,0.45665024943310684,29.43212,-14.199829750566895
3,147.16807256235828,147.141975,2,0.026097562358273763,146.68396,0.4841125623582627,146.68396,0.4841125623582627
4,177.3772335600907,177.370965,4,0.006268560090688879,177.82898,-0.4517464399093001,175.99692,1.3803135600907126
5,191.12344671201814,191.111415,2,0.01203171201814257,190.6534,0.47004671201813153,205.30988,-14.186433287981856
6,236.00761904761904,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.011440646258499942,,0.4656389909297003,,7.562672290249432
Proximity Scores,,,,0.025128556035635814,,1.0227425279634563,,16.61086534193745
Percent of ground truth boundaries (0.5 sec),0.3333333333333333
Percent of ground truth boundaries found (0.5 sec),0.2
Percent of ground truth boundaries (3 sec),0.5
Percent of ground truth boundaries found (3 sec),0.3
Average time between beats,0.4552846666667
Rand Index Score,0.5440942456752733

CoolerThanMe_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,NA,NA,NA,NA,NA,NA,NA
2,29.350022675736962,29.316894,3,0.0331286757369611,30.23997,-0.8899473242630371,32.086122,-2.7360993242630407
3,32.113197278911564,32.086122,1,0.027075278911560474,32.086122,0.027075278911560474,32.086122,0.027075278911560474
4,47.322267573696145,47.316876,2,0.005391573696144292,46.855338,0.46692957369614163,46.3938,0.9284675736961461
5,77.7404081632653,77.778384,4,-0.037975836734702284,78.239922,-0.49951383673470673,75.932232,1.8081761632653013
6,86.98195011337869,87.009144,4,-0.027193886621319052,87.470682,-0.4887318866213093,75.932232,11.049718113378688
7,151.97460317460317,152.086002,1,-0.11139882539683299,152.086002,-0.11139882539683299,149.778312,2.196291174603175
8,177.8184126984127,177.93213,1,-0.11371730158731452,177.93213,-0.11371730158731452,179.778282,-1.9598693015873039
9,208.23655328798185,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.05084019695497639,,0.37104486103012896,,2.9579567042436024
Proximity Scores,,,,0.11015387022298573,,0.8039313361632823,,6.408912601440407
Percent of ground truth boundaries (0.5 sec),0.3333333333333333
Percent of ground truth boundaries found (0.5 sec),0.3333333333333333
Percent of ground truth boundaries (3 sec),0.8888888888888888
Percent of ground truth boundaries found (3 sec),0.7777777777777778
Average time between beats,0.461538
Rand Index Score,0.6517017155506364

Dynamite_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.23219954648526078,NA,NA,NA,NA,NA,NA,NA
2,24.079092970521543,24.042552,1,0.036540970521542704,24.042552,0.036540970521542704,32.042552,-7.963459029478457
3,44.07147392290249,44.042552,1,0.02892192290249085,44.042552,0.02892192290249085,47.542552,-3.471078077097509
4,79.5980045351474,79.542552,4,0.055452535147395565,80.042552,-0.44454746485260443,88.042552,-8.444547464852604
5,100.56562358276643,100.542552,2,0.023071582766434062,100.042552,0.5230715827664341,103.542552,-2.976928417233566
6,135.58131519274377,135.542552,4,0.03876319274377238,136.042552,-0.4612368072562276,120.042552,15.538763192743772
7,159.5675283446712,159.542552,4,0.024976344671188144,160.042552,-0.47502365532881186,164.042552,-4.475023655328812
8,212.06784580498865,196.042552,1,16.02529380498865,196.042552,16.02529380498865,196.042552,16.02529380498865
9,220.68244897959184,NA,NA,NA,NA,NA,NA,NA
Averages,,,,2.3190029076773535,,2.5706623155166803,,8.41358480596048
Proximity Scores,,,,4.667803008142269,,5.174355430759218,,16.935276940147126
Percent of ground truth boundaries (0.5 sec),0.1111111111111111
Percent of ground truth boundaries found (0.5 sec),0.09090909090909091
Percent of ground truth boundaries (3 sec),0.2222222222222222
Percent of ground truth boundaries found (3 sec),0.18181818181818182
Average time between beats,0.49680822083369997
Rand Index Score,0.566845822298385

Fireflies_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,2.020136054421769,NA,NA,NA,NA,NA,NA,NA
2,26.70294784580499,26.6666,1,0.03634784580498973,26.6666,0.03634784580498973,26.6666,0.03634784580498973
3,91.37052154195011,91.333073,2,0.03744854195011271,90.666408,0.7041135419501074,90.666408,0.7041135419501074
4,112.68643990929705,112.666353,2,0.02008690929704926,111.999688,0.686751909297044,114.666348,-1.9799080907029492
5,158.03501133786847,157.999593,2,0.03541833786846382,157.332928,0.7020833378684586,157.332928,0.7020833378684586
6,201.36344671201815,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.03232540873015388,,0.5323241587301499,,0.8556132040816262
Proximity Scores,,,,0.04848823431581661,,0.7984882343158106,,1.2834230146799759
Percent of ground truth boundaries (0.5 sec),0.16666666666666666
Percent of ground truth boundaries found (0.5 sec),0.07692307692307693
Percent of ground truth boundaries (3 sec),1.0
Percent of ground truth boundaries found (3 sec),0.46153846153846156
Average time between beats,0.6666650000000001
Rand Index Score,0.7559111512273611

OverMyHead_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.23219954648526078,NA,NA,NA,NA,NA,NA,NA
2,18.94748299319728,18.7360605,1,0.21142249319727924,18.7360605,0.21142249319727924,4.2533125,14.69417049319728
3,36.548208616780045,36.3222545,3,0.22595411678004496,37.3567365,-0.8085278832199521,37.3567365,-0.8085278832199521
4,54.68299319727891,54.4256895,2,0.257303697278914,53.9084485,0.7745446972789125,53.9084485,0.7745446972789125
5,94.55165532879819,94.7704875,4,-0.21883217120181087,95.2877285,-0.7360731712018094,95.2877285,-0.7360731712018094
6,129.24226757369615,129.4256345,3,-0.18336692630384732,128.3911525,0.8511150736961497,128.3911525,0.8511150736961497
7,162.37714285714284,162.5290585,3,-0.15191564285714776,161.4945765,0.8825663571428493,161.4945765,0.8825663571428493
8,190.84480725623584,190.9773135,2,-0.13250624376416908,190.4600725,0.38473475623584363,194.5980005,-3.753193243764173
9,195.001179138322,195.1152415,2,-0.11406236167800898,194.5980005,0.4031786383219753,194.5980005,0.4031786383219753
10,228.64689342403628,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.18692045663265278,,0.6315203837868464,,2.8629211947278876
Proximity Scores,,,,0.36137981450165935,,1.2209403040107927,,5.534985035462943
Percent of ground truth boundaries (0.5 sec),0.2
Percent of ground truth boundaries found (0.5 sec),0.15384615384615385
Percent of ground truth boundaries (3 sec),0.8
Percent of ground truth boundaries found (3 sec),0.6153846153846154
Average time between beats,0.517241
Rand Index Score,0.7948332369385

Solo_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.09287981859410431,NA,NA,NA,NA,NA,NA,NA
2,13.514013605442177,13.44229425,2,0.07171935544217689,12.98075625,0.533257355442176,22.21151625,-8.697502644557822
3,15.32517006802721,15.28844625,2,0.0367238180272107,14.82690825,0.4982618180272098,22.21151625,-6.8863461819727885
4,22.267936507936508,22.21151625,1,0.05642025793650873,22.21151625,0.05642025793650873,22.21151625,0.05642025793650873
5,24.102312925170068,24.05766825,1,0.04464467517006909,24.05766825,0.04464467517006909,22.21151625,1.890796675170069
6,36.548208616780045,36.51919425,4,0.02901436678004643,36.98073225,-0.432523633219958,22.21151625,14.336692366780046
7,39.334603174603174,39.28842225,2,0.04618092460317058,38.82688425,0.507718924603175,51.74994825,-12.415345075396829
8,79.94630385487528,79.90376625,2,0.042537604875278134,79.44222825,0.5040756048752826,81.28838025,-1.342076395124721
