Librosa_KmeansMel_Cluster4

Bulletproof_Librosa_Kmeans_Mel_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.046439909297052155,NA,NA,NA,NA,NA,NA,NA
2,48.83156462585034,48.667538,2,0.16402662585034022,48.000488,0.8310766258503435,48.000488,0.8310766258503435
3,64.92299319727891,64.668653,2,0.254340197278907,64.001988,0.9210051972789159,69.335308,-4.412314802721085
4,103.70031746031746,103.999708,1,-0.29939053968253404,103.999708,-0.29939053968253404,114.666348,-10.966030539682535
5,135.04725623582766,135.332857,4,-0.2856007641723295,135.999284,-0.9520277641723283,135.999284,-0.9520277641723283
6,150.76716553287983,150.666278,3,0.100887532879824,151.999608,-1.2324424671201655,157.332928,-6.56576246712018
7,165.74403628117915,165.999573,2,-0.2555367188208493,165.332908,0.41112828117914546,157.332928,8.41110828117914
8,196.85877551020408,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.226630396447464,,0.7745118125472388,,5.356386746787602
Proximity Scores,,,,0.3399464445373073,,1.161770623247416,,8.034600206681919
Percent of ground truth boundaries,0.375
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

CallMeMaybe_Librosa_Kmeans_Mel_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.666645,2,0.11049785714285676,7.99998,0.7771628571428577,5.33332,3.443822857142858
3,31.997097505668933,32.000772,1,-0.003674494331065148,32.000772,-0.003674494331065148,26.6666,5.330497505668934
4,64.76045351473923,64.668653,2,0.09180051473921935,64.001988,0.7584655147392283,69.335308,-4.574854485260772
5,92.5082993197279,92.666403,4,-0.15810368027210586,93.333068,-0.8247686802721006,90.666408,1.8418913197278926
6,140.64326530612246,140.665939,4,-0.02267369387755025,141.332604,-0.689338693877545,135.999284,4.64398130612247
7,155.50403628117914,155.332933,2,0.17110328117914264,154.666268,0.8377682811791374,157.332928,-1.82889171882087
8,188.56925170068027,NA,NA,NA,NA,NA,NA,NA
