Librosa_KmeansSTFT_Cluster4

Bulletproof_Librosa_Kmeans_STFT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.046439909297052155,NA,NA,NA,NA,NA,NA,NA
2,48.83156462585034,48.667538,2,0.16402662585034022,48.000488,0.8310766258503435,48.000488,0.8310766258503435
3,63.947755102040816,64.001988,1,-0.054232897959181514,64.001988,-0.054232897959181514,69.335308,-5.387552897959182
4,102.77151927437642,102.666378,3,0.10514127437642173,103.999708,-1.228188725623582,114.666348,-11.894828725623583
5,135.04725623582766,135.332857,4,-0.2856007641723295,135.999284,-0.9520277641723283,135.999284,-0.9520277641723283
6,150.25632653061226,149.999613,2,0.2567135306122452,149.332948,0.9233785306122684,157.332928,-7.076601469387754
7,165.74403628117915,165.999573,2,-0.2555367188208493,165.332908,0.41112828117914546,157.332928,8.41110828117914
8,196.85877551020408,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.18687530196522792,,0.7333388042328082,,5.758865960695388
Proximity Scores,,,,0.2803136537319762,,1.1000109563766032,,8.638320536844423
Percent of ground truth boundaries,0.375
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

CallMeMaybe_Librosa_Kmeans_STFT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.666645,2,0.11049785714285676,7.99998,0.7771628571428577,5.33332,3.443822857142858
3,31.997097505668933,32.000772,1,-0.003674494331065148,32.000772,-0.003674494331065148,26.6666,5.330497505668934
4,64.76045351473923,64.668653,2,0.09180051473921935,64.001988,0.7584655147392283,69.335308,-4.574854485260772
5,92.02068027210885,91.999738,3,0.020942272108854354,93.333068,-1.3123877278911493,90.666408,1.3542722721088438
6,140.08598639455784,139.999274,3,0.08671239455782143,141.332604,-1.246617605442168,135.999284,4.086702394557847
7,156.0148752834467,155.999598,3,0.015277283446721412,157.332928,-1.3180527165532965,157.332928,-1.3180527165532965
8,188.56925170068027,NA,NA,NA,NA,NA,NA,NA
