Librosa_SpectralCQT_Cluster5

CallMeMaybe_Librosa_SpectralCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.999996,3,-0.22285314285714186,7.999996,0.7771468571428573,4.0,4.777142857142858
3,24.473832199546486,24.499996,2,-0.02616380045351363,23.999996,0.47383619954648637,23.999996,0.47383619954648637
4,32.507936507936506,32.499996,2,0.007940507936503138,31.999996,0.5079405079365067,31.999996,0.5079405079365067
5,64.76045351473923,64.999996,3,-0.23954248526077038,63.999996,0.7604575147392225,63.999996,0.7604575147392225
6,67.91836734693878,67.999996,1,-0.08162865306121603,67.999996,-0.08162865306121603,63.999996,3.918371346938777
7,92.5082993197279,92.499996,2,0.008303319727900771,91.999996,0.5083033197279008,91.999996,0.5083033197279008
8,140.64326530612246,140.499996,2,0.14326930612244837,139.999996,0.6432693061224484,139.999996,0.6432693061224484
9,156.50249433106575,156.499996,2,0.0024983310657376023,155.999996,0.5024983310657376,171.999996,-15.497501668934262
10,188.56925170068027,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.09152494331065397,,0.531885086167797,,3.3858528401360575
Proximity Scores,,,,0.18304988662130794,,1.063770172335594,,6.771705680272115
Percent of ground truth boundaries (0.5 sec),0.2
Percent of ground truth boundaries found (0.5 sec),0.16666666666666666
Percent of ground truth boundaries (3 sec),0.7
Percent of ground truth boundaries found (3 sec),0.5833333333333334
Average time between beats,0.5
Rand Index Score,0.7339235359695718

Clocks_Librosa_SpectralCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,NA,NA,NA,NA,NA,NA,NA
2,15.232290249433106,15.233655,2,-0.001364750566894557,14.77564,0.45665024943310684,29.43212,-14.199829750566895
3,30.789659863945577,30.806165,4,-0.016505136054423275,31.26418,-0.4745201360544229,29.43212,1.3575398639455756
4,59.187664399092974,59.203095,2,-0.015430600907023972,58.74508,0.4425843990929721,58.74508,0.4425843990929721
5,89.44326530612246,89.432085,4,0.011180306122454908,89.8901,-0.44683469387754826,88.05804,1.3852253061224502
6,117.84126984126983,117.829015,2,0.012254841269836447,117.371,0.4702698412698396,117.371,0.4702698412698396
7,147.16807256235828,147.141975,2,0.026097562358273763,146.68396,0.4841125623582627,146.68396,0.4841125623582627
8,176.4716553287982,176.454935,2,0.0167203287981863,175.99692,0.4747353287982037,175.99692,0.4747353287982037
9,191.12344671201814,191.111415,2,0.01203171201814257,190.6534,0.47004671201813153,205.30988,-14.186433287981856
10,235.56643990929706,235.53887,3,0.027569909297056938,236.4549,-0.8884600907029494,241.95108,-6.384640090702931
11,245.64390022675738,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.015461683043588081,,0.512023779289493,,4.376152270093221
Proximity Scores,,,,0.03396047390918858,,1.124623376926353,,9.611903475978181
Percent of ground truth boundaries (0.5 sec),0.45454545454545453
Percent of ground truth boundaries found (0.5 sec),0.5
Percent of ground truth boundaries (3 sec),0.6363636363636364
Percent of ground truth boundaries found (3 sec),0.7
Average time between beats,0.4552846666667
Rand Index Score,0.7679876118611296

CoolerThanMe_Librosa_SpectralCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.11609977324263039,NA,NA,NA,NA,NA,NA,NA
2,15.975328798185942,15.932292,2,0.043036798185941194,15.470754,0.5045747981859421,0.24,15.735328798185941
3,32.55437641723356,32.54766,2,0.006716417233562311,32.086122,0.46825441723355965,32.086122,0.46825441723355965
4,61.55609977324263,61.624554,1,-0.06845422675737467,61.624554,-0.06845422675737467,75.932232,-14.37613222675737
5,62.0669387755102,62.086092,2,-0.019153224489798504,61.624554,0.44238477551019884,75.932232,-13.865293224489797
6,120.58122448979591,120.701418,1,-0.1201935102040892,120.701418,-0.1201935102040892,135.470634,-14.889409510204075
7,121.09206349206349,121.162956,2,-0.07089250793650592,120.701418,0.3906454920634843,135.470634,-14.378570507936502
8,134.002358276644,134.08602,2,-0.08366172335598776,133.624482,0.3778762766440025,135.470634,-1.4682757233559869
9,147.84145124716554,147.93216,4,-0.09070875283447322,148.393698,-0.5522467528344635,149.778312,-1.9368607528344626
10,149.2346485260771,149.316774,3,-0.08212547392290048,148.393698,0.8409505260771084,149.778312,-0.5436634739228907
11,178.2828117913832,178.393668,2,-0.1108562086167808,177.93213,0.35068179138320943,179.778282,-1.49547020861678
12,191.1698866213152,191.316732,2,-0.14684537868481584,190.855194,0.3146926213151744,179.778282,11.391604621315196
13,193.02748299319728,193.162884,2,-0.1354010068027094,192.701346,0.32613699319728084,179.778282,13.249200993197292
14,209.58331065759637,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.08150376908541161,,0.3964243484504906,,8.649838704837487
Proximity Scores,,,,0.17659167627673478,,0.8589202805630103,,18.74133593515049
Percent of ground truth boundaries (0.5 sec),0.14285714285714285
Percent of ground truth boundaries found (0.5 sec),0.2222222222222222
Percent of ground truth boundaries (3 sec),0.5
Percent of ground truth boundaries found (3 sec),0.6666666666666666
Average time between beats,0.461538
Rand Index Score,0.5937672938572219

Dynamite_Librosa_SpectralCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.23219954648526078,NA,NA,NA,NA,NA,NA,NA
2,24.56671201814059,24.542552,2,0.02416001814058788,24.042552,0.5241600181405879,32.042552,-7.475839981859412
3,46.068390022675736,46.042552,1,0.025838022675735317,46.042552,0.025838022675735317,47.542552,-1.4741619773242647
4,80.5732426303855,80.542552,2,0.030690630385493023,80.042552,0.530690630385493,88.042552,-7.469309369614507
5,102.07492063492063,102.042552,1,0.0323686349206298,102.042552,0.0323686349206298,103.542552,-1.4676313650793702
6,137.06739229024944,137.042552,3,0.024840290249443342,138.042552,-0.9751597097505567,120.042552,17.024840290249443
7,169.11092970521543,169.042552,3,0.06837770521542552,170.042552,-0.9316222947845745,164.042552,5.0683777052154255
8,213.55392290249432,196.042552,1,17.51137090249432,196.042552,17.51137090249432,196.042552,17.51137090249432
9,220.68244897959184,NA,NA,NA,NA,NA,NA,NA
Averages,,,,2.531092314868805,,2.933030030450271,,8.213075941690963
Proximity Scores,,,,5.094706988989328,,5.903746974090561,,16.53168284516005
Percent of ground truth boundaries (0.5 sec),0.1111111111111111
Percent of ground truth boundaries found (0.5 sec),0.09090909090909091
Percent of ground truth boundaries (3 sec),0.3333333333333333
Percent of ground truth boundaries found (3 sec),0.2727272727272727
Average time between beats,0.49680822083369997
Rand Index Score,0.616360284571844

Fireflies_Librosa_SpectralCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,2.020136054421769,NA,NA,NA,NA,NA,NA,NA
2,26.70294784580499,26.6666,1,0.03634784580498973,26.6666,0.03634784580498973,26.6666,0.03634784580498973
3,46.53278911564626,46.667158,3,-0.13436888435374073,45.333828,1.198961115646263,48.000488,-1.4676988843537373
4,69.35800453514739,69.335308,1,0.02269653514738934,69.335308,0.02269653514738934,69.335308,0.02269653514738934
5,91.37052154195011,91.333073,2,0.03744854195011271,90.666408,0.7041135419501074,90.666408,0.7041135419501074
6,112.68643990929705,112.666353,2,0.02008690929704926,111.999688,0.686751909297044,114.666348,-1.9799080907029492
7,115.37995464852608,115.333165,2,0.04678964852608658,114.666348,0.7136066485260812,114.666348,0.7136066485260812
8,158.03501133786847,157.999593,2,0.03541833786846382,157.332928,0.7020833378684586,157.332928,0.7020833378684586
9,201.36344671201815,201.332818,3,0.030628712018142323,202.666148,-1.3027012879818471,199.999488,1.3639587120181318
10,220.68244897959184,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.04547317687074681,,0.6709077777777726,,0.8738016995464806
Proximity Scores,,,,0.06820993583095979,,1.0063641825771152,,1.3107058260842859
Percent of ground truth boundaries (0.5 sec),0.2
Percent of ground truth boundaries found (0.5 sec),0.15384615384615385
Percent of ground truth boundaries (3 sec),1.0
Percent of ground truth boundaries found (3 sec),0.6923076923076923
Average time between beats,0.6666650000000001
Rand Index Score,0.8590742303239606

OverMyHead_Librosa_SpectralCQT_Cluster5.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.23219954648526078,NA,NA,NA,NA,NA,NA,NA
2,21.037278911564627,20.8050245,1,0.23225441156462878,20.8050245,0.23225441156462878,37.3567365,-16.31945758843537
3,35.5265306122449,35.2877725,1,0.23875811224489496,35.2877725,0.23875811224489496,37.3567365,-1.830205887755099
4,62.43845804988662,62.1843045,1,0.25415354988661676,62.1843045,0.25415354988661676,62.1843045,0.25415354988661676
5,77.46176870748299,77.7015345,3,-0.23976579251700514,76.6670525,0.7947162074829919,62.1843045,15.277464207482986
6,79.01750566893423,79.2532575,2,-0.23575183106576958,78.7360165,0.28148916893422893,95.2877285,-16.270222831065766
