MSAF_ConvolutiveBlockMatching_VariableMarkovOracle

Bulletproof_MSAF_ConvolutiveBlockMatching_VariableMarkovOracle.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.2786394557823129,5.33332,1,-5.054680544217686,5.33332,-5.054680544217686,0.0,0.2786394557823129
3,6.130068027210885,5.999985,2,0.13008302721088505,5.33332,0.7967480272108851,5.33332,0.7967480272108851
4,11.981496598639456,11.99997,3,-0.018473401360543207,10.66664,1.314856598639457,5.33332,6.6481765986394565
5,17.832925170068027,17.999955,4,-0.16702982993197324,18.66662,-0.8336948299319751,26.6666,-8.833674829931972
6,22.244716553287983,21.999945,2,0.2447715532879826,21.33328,0.9114365532879845,26.6666,-4.421883446712016
7,28.096145124716553,28.00008,3,0.09606512471655293,29.33356,-1.237414875283445,26.6666,1.4295451247165545
8,33.94757369614513,34.000317,4,-0.05274330385487502,34.666832,-0.7192583038548719,26.6666,7.280973696145129
9,39.7990022675737,40.000508,1,-0.20150573242630543,40.000508,-0.20150573242630543,48.000488,-8.201485732426299
10,45.65043083900227,45.333828,1,0.3166028390022717,45.333828,0.3166028390022717,48.000488,-2.3500571609977285
11,48.576145124716554,48.667538,2,-0.09139287528344653,48.000488,0.5756571247165567,48.000488,0.5756571247165567
12,54.427573696145124,54.668678,3,-0.24110430385487547,53.335348,1.092225696145121,48.000488,6.427085696145127
13,60.279002267573695,60.001998,3,0.27700426757369456,61.335328,-1.056325732426302,69.335308,-9.056305732426303
14,66.13043083900227,66.001983,4,0.12844783900227696,66.668648,-0.538217160997732,69.335308,-3.204877160997725
15,71.88897959183673,71.999788,1,-0.11080840816326543,71.999788,-0.11080840816326543,69.335308,2.553671591836732
16,77.83328798185941,77.999773,2,-0.16648501814059102,77.333108,0.5001799818594179,69.335308,8.497979981859416
17,83.68471655328798,83.999758,3,-0.3150414467120157,82.666428,1.018288553287988,90.666408,-6.98169144671202
18,86.65687074829933,86.666418,3,-0.009547251700666948,85.333088,1.3237827482993225,90.666408,-4.009537251700678
19,92.46185941043083,92.666403,4,-0.20454358956916963,93.333068,-0.8712085895691644,90.666408,1.7954514104308288
20,98.35972789115647,98.666388,1,-0.30666010884353057,98.666388,-0.30666010884353057,90.666408,7.693319891156463
21,104.4433560090703,104.666373,2,-0.2230169909296933,103.999708,0.44364800907030144,114.666348,-10.2229919909297
22,110.29478458049887,109.999693,2,0.29509158049887674,109.333028,0.9617565804988715,114.666348,-4.371563419501129
23,114.79945578231292,114.666348,1,0.1331077823129192,114.666348,0.1331077823129192,114.666348,0.1331077823129192
24,117.86448979591837,118.000281,2,-0.13579120408162737,117.333616,0.5308737959183674,114.666348,3.1981417959183744
