MSAF_Foote_Laplacian

Bulletproof_MSAF_Foote_Laplacian.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.2786394557823129,5.33332,1,-5.054680544217686,5.33332,-5.054680544217686,0.0,0.2786394557823129
3,47.09006802721088,47.333823,4,-0.2437549727891195,48.000488,-0.9104199727891142,48.000488,-0.9104199727891142
4,69.70630385487529,70.001428,2,-0.2951241451247171,69.335308,0.3709958548752894,69.335308,0.3709958548752894
5,103.70031746031746,103.999708,1,-0.29939053968253404,103.999708,-0.29939053968253404,114.666348,-10.966030539682535
6,134.30421768707484,134.000003,2,0.3042146870748468,133.333576,0.9706416870748455,135.999284,-1.6950663129251495
7,154.92353741496598,154.666268,1,0.25726941496597533,154.666268,0.25726941496597533,157.332928,-2.409390585034032
8,206.47183673469388,NA,NA,NA,NA,NA,NA,NA
Averages,,,,1.0757390506424798,,1.3105663356009074,,2.7717571201814053
Proximity Scores,,,,1.6136126099952446,,1.965854418037406,,4.157646074387293
Percent of ground truth boundaries,0.75
Percent of ground truth boundaries found,0.46153846153846156
Average time between beats,0.6666650000000001

CallMeMaybe_MSAF_Foote_Laplacian.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,4.272471655328798,5.33332,1,-1.0608483446712018,5.33332,-1.0608483446712018,5.33332,-1.0608483446712018
3,25.541950113378686,25.33327,3,0.20868011337868708,26.6666,-1.124649886621313,26.6666,-1.124649886621313
4,68.49886621315193,68.668643,4,-0.1697767868480753,69.335308,-0.83644178684807,69.335308,-0.83644178684807
5,90.04698412698413,89.999743,4,0.047241126984133075,90.666408,-0.6194238730158759,90.666408,-0.6194238730158759
6,140.66648526077097,140.665939,4,0.0005462607709603162,141.332604,-0.6661187392290344,135.999284,4.66720126077098
7,156.50249433106575,156.666263,4,-0.1637686689342388,157.332928,-0.830433668934262,157.332928,-0.830433668934262
8,203.08172335600906,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.2751435502645494,,0.8563193832199595,,1.5231664701436172
Proximity Scores,,,,0.41271635718771704,,1.2844822860356542,,2.2847554171039683
Percent of ground truth boundaries,0.75
Percent of ground truth boundaries found,0.46153846153846156
Average time between beats,0.6666650000000001

Clocks_MSAF_Foote_Laplacian.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
