MSAF_KMeansCNMF_2DFourierMagnitudeCoefficients

Bulletproof_MSAF_KMeansCNMF_2DFourierMagnitudeCoefficients.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.2786394557823129,5.33332,1,-5.054680544217686,5.33332,-5.054680544217686,0.0,0.2786394557823129
3,48.576145124716554,48.667538,2,-0.09139287528344653,48.000488,0.5756571247165567,48.000488,0.5756571247165567
4,52.244897959183675,52.002018,3,0.242879959183675,53.335348,-1.0904500408163287,48.000488,4.2444099591836775
5,63.947755102040816,64.001988,1,-0.054232897959181514,64.001988,-0.054232897959181514,69.335308,-5.387552897959182
6,66.13043083900227,66.001983,4,0.12844783900227696,66.668648,-0.538217160997732,69.335308,-3.204877160997725
7,102.1213605442177,101.999713,2,0.1216475442176943,101.333048,0.788312544217689,90.666408,11.45495254421769
8,133.4682993197279,133.333576,1,0.13472331972789675,133.333576,0.13472331972789675,135.999284,-2.5309846802720983
9,154.92353741496598,154.666268,1,0.25726941496597533,154.666268,0.25726941496597533,157.332928,-2.409390585034032
10,166.62639455782312,166.666238,3,-0.03984344217687408,165.332908,1.2934865578231154,157.332928,9.293466557823109
11,194.67609977324264,194.666168,1,0.009931773242641384,194.666168,0.009931773242641384,199.999488,-5.323388226757373
12,206.47183673469388,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.6135049609977348,,0.9796961378684802,,4.470331919274376
Proximity Scores,,,,0.9202597421459574,,1.4695478806724218,,6.705514642698169
Percent of ground truth boundaries,0.4166666666666667
Percent of ground truth boundaries found,0.38461538461538464
Average time between beats,0.6666650000000001

CallMeMaybe_MSAF_KMeansCNMF_2DFourierMagnitudeCoefficients.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,4.272471655328798,5.33332,1,-1.0608483446712018,5.33332,-1.0608483446712018,5.33332,-1.0608483446712018
3,11.749297052154194,11.99997,3,-0.2506729478458052,10.66664,1.082657052154195,5.33332,6.415977052154195
4,29.024943310657598,29.33356,1,-0.3086166893424007,29.33356,-0.3086166893424007,26.6666,2.358343310657599
5,69.0097052154195,69.335308,1,-0.3256027845804965,69.335308,-0.3256027845804965,69.335308,-0.3256027845804965
6,86.51755102040816,86.666418,3,-0.14886697959182982,85.333088,1.1844630204081597,90.666408,-4.148856979591841
7,91.02222222222223,91.333073,2,-0.31085077777777315,90.666408,0.3558142222222216,90.666408,0.3558142222222216
8,203.08172335600906,NA,NA,NA,NA,NA,NA,NA
