MSAF_KMeansCNMF_KMeansCNMF

Bulletproof_MSAF_KMeansCNMF_KMeansCNMF.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.2786394557823129,5.33332,1,-5.054680544217686,5.33332,-5.054680544217686,0.0,0.2786394557823129
3,49.31918367346939,49.334588,3,-0.015404326530607193,48.000488,1.3186956734693922,48.000488,1.3186956734693922
4,63.947755102040816,64.001988,1,-0.054232897959181514,64.001988,-0.054232897959181514,69.335308,-5.387552897959182
5,102.1213605442177,101.999713,2,0.1216475442176943,101.333048,0.788312544217689,90.666408,11.45495254421769
6,134.30421768707484,134.000003,2,0.3042146870748468,133.333576,0.9706416870748455,135.999284,-1.6950663129251495
7,154.92353741496598,154.666268,1,0.25726941496597533,154.666268,0.25726941496597533,157.332928,-2.409390585034032
8,167.36943310657597,167.332903,4,0.03653010657598088,167.999568,-0.6301348934240423,157.332928,10.036505106575959
9,194.67609977324264,194.666168,1,0.009931773242641384,194.666168,0.009931773242641384,199.999488,-5.323388226757373
10,206.47183673469388,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.7317389118480767,,1.1354874285714316,,4.738023850340136
Proximity Scores,,,,1.0976111117998946,,1.7032354009456496,,7.107053543144062
Percent of ground truth boundaries,0.5
Percent of ground truth boundaries found,0.38461538461538464
Average time between beats,0.6666650000000001

CallMeMaybe_MSAF_KMeansCNMF_KMeansCNMF.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,4.272471655328798,5.33332,1,-1.0608483446712018,5.33332,-1.0608483446712018,5.33332,-1.0608483446712018
3,11.284897959183674,11.333305,2,-0.04840704081632552,10.66664,0.6182579591836745,5.33332,5.951577959183674
4,31.02185941043084,31.333969,4,-0.312109589569161,32.000772,-0.978912589569159,26.6666,4.35525941043084
5,69.0097052154195,69.335308,1,-0.3256027845804965,69.335308,-0.3256027845804965,69.335308,-0.3256027845804965
6,90.51138321995465,90.666408,1,-0.15502478004535192,90.666408,-0.15502478004535192,90.666408,-0.15502478004535192
7,203.08172335600906,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.38039850793650737,,0.6277292916099768,,2.369662655782313
Proximity Scores,,,,0.570599188402732,,0.9415962914056937,,3.554502869930644
Percent of ground truth boundaries,0.5714285714285714
Percent of ground truth boundaries found,0.3076923076923077
Average time between beats,0.6666650000000001

Clocks_MSAF_KMeansCNMF_KMeansCNMF.csv
