MSAF_KMeansCNMF_Laplacian

Bulletproof_MSAF_KMeansCNMF_Laplacian.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.2786394557823129,5.33332,1,-5.054680544217686,5.33332,-5.054680544217686,0.0,0.2786394557823129
3,47.09006802721088,47.333823,4,-0.2437549727891195,48.000488,-0.9104199727891142,48.000488,-0.9104199727891142
4,63.947755102040816,64.001988,1,-0.054232897959181514,64.001988,-0.054232897959181514,69.335308,-5.387552897959182
5,74.16453514739229,73.999783,4,0.16475214739229216,74.666448,-0.5019128526077168,69.335308,4.829227147392288
6,101.3318820861678,101.333048,1,-0.001165913832210208,101.333048,-0.001165913832210208,90.666408,10.66547408616779
7,102.1213605442177,101.999713,2,0.1216475442176943,101.333048,0.788312544217689,90.666408,11.45495254421769
8,119.53632653061224,119.333611,4,0.20271553061223813,120.000276,-0.4639494693877566,114.666348,4.869978530612244
9,159.33532879818594,159.332923,4,0.0024057981859471056,159.999588,-0.6642592018140476,157.332928,2.0024007981859313
10,183.71628117913832,183.999528,1,-0.2832468208616774,183.999528,-0.2832468208616774,178.666208,5.050073179138309
11,206.47183673469388,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.6809557966742275,,0.9691311352985643,,5.049857623582763
Proximity Scores,,,,1.0214362486019626,,1.4537003371986894,,7.574805372387574
Percent of ground truth boundaries,0.36363636363636365
Percent of ground truth boundaries found,0.3076923076923077
Average time between beats,0.6666650000000001

CallMeMaybe_MSAF_KMeansCNMF_Laplacian.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,4.272471655328798,5.33332,1,-1.0608483446712018,5.33332,-1.0608483446712018,5.33332,-1.0608483446712018
3,11.749297052154194,11.99997,3,-0.2506729478458052,10.66664,1.082657052154195,5.33332,6.415977052154195
4,31.48625850340136,31.333969,4,0.15228950340135938,32.000772,-0.5145134965986387,26.6666,4.81965850340136
5,68.49886621315193,68.668643,4,-0.1697767868480753,69.335308,-0.83644178684807,69.335308,-0.83644178684807
6,86.51755102040816,86.666418,3,-0.14886697959182982,85.333088,1.1844630204081597,90.666408,-4.148856979591841
7,91.02222222222223,91.333073,2,-0.31085077777777315,90.666408,0.3558142222222216,90.666408,0.3558142222222216
8,203.08172335600906,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.34888422335600744,,0.8391229871504144,,2.9395994814814816
Proximity Scores,,,,0.5233276433531195,,1.25868762744469,,4.409410245747837
Percent of ground truth boundaries,0.5
