MSAF_KMeansCNMF_VariableMarkovOracle

CallMeMaybe_MSAF_KMeansCNMF_VariableMarkovOracle.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,4.272471655328798,4.5,2,-0.2275283446712022,4.0,0.2724716553287978,4.0,0.2724716553287978
3,11.284897959183674,11.499996,4,-0.21509804081632566,11.999996,-0.7150980408163257,4.0,7.284897959183674
4,29.53578231292517,29.499996,4,0.03578631292517187,29.999996,-0.46421368707482813,31.999996,-2.464213687074828
5,68.49886621315193,68.499996,2,-0.0011297868480681927,67.999996,0.4988702131519318,63.999996,4.498870213151925
6,87.02839002267574,86.999996,3,0.02839402267574087,87.999996,-0.9716059773242591,83.999996,3.028394022675741
7,203.08172335600906,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.10158730158730175,,0.5844519147392285,,3.509769507482993
Proximity Scores,,,,0.2031746031746035,,1.168903829478457,,7.019539014965986
Percent of ground truth boundaries (0.5 sec),0.2857142857142857
Percent of ground truth boundaries found (0.5 sec),0.16666666666666666
Percent of ground truth boundaries (3 sec),0.42857142857142855
Percent of ground truth boundaries found (3 sec),0.25
Average time between beats,0.5
Rand Index Score,0.670076726342711

Clocks_MSAF_KMeansCNMF_VariableMarkovOracle.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.13931972789115646,0.0873983958333,1,0.051921332057856456,0.0873983958333,0.051921332057856456,0.0873983958333,0.051921332057856456
3,28.514104308390024,28.51609,3,-0.001985691609974083,27.60006,0.9140443083900252,29.43212,-0.9180156916099769
4,54.61333333333334,54.622945,4,-0.009611666666664576,55.08096,-0.46762666666666064,58.74508,-4.131746666666665
5,72.49269841269842,72.48553,3,0.007168412698419502,73.40156,-0.9088615873015868,73.40156,-0.9088615873015868
6,113.2669387755102,113.248865,4,0.01807377551020295,113.70688,-0.4399412244898002,117.371,-4.104061224489797
7,145.31047619047618,145.309915,2,0.0005611904761906317,144.8519,0.4585761904761796,146.68396,-1.373483809523833
8,177.40045351473924,177.370965,4,0.029488514739227867,177.82898,-0.4285264852607611,175.99692,1.4035335147392516
9,192.9578231292517,192.943475,2,0.014348129251686714,192.48546,0.4723631292517041,205.30988,-12.3520568707483
10,241.95192743764173,241.95108,1,0.0008474376417382246,241.95108,0.0008474376417382246,241.95108,0.0008474376417382246
11,250.1253514739229,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.014889572294662333,,0.4603009290595903,,2.8049475705310005
Proximity Scores,,,,0.03270387382837677,,1.0110178592870613,,6.160865445056635
Percent of ground truth boundaries (0.5 sec),0.2727272727272727
Percent of ground truth boundaries found (0.5 sec),0.2
Percent of ground truth boundaries (3 sec),0.6363636363636364
Percent of ground truth boundaries found (3 sec),0.6
Average time between beats,0.4552846666667
Rand Index Score,0.8404257139435005

CoolerThanMe_MSAF_KMeansCNMF_VariableMarkovOracle.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.13931972789115646,0.24,2,-0.10068027210884353,0.701538,-0.5622182721088436,0.24,-0.10068027210884353
