MSAF_Laplacian_KMeansCNMF

Bulletproof_MSAF_Laplacian_KMeansCNMF.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.2786394557823129,5.33332,1,-5.054680544217686,5.33332,-5.054680544217686,0.0,0.2786394557823129
3,49.31918367346939,49.334588,3,-0.015404326530607193,48.000488,1.3186956734693922,48.000488,1.3186956734693922
4,65.38739229024944,65.335318,3,0.05207429024943622,66.668648,-1.2812557097505675,69.335308,-3.9479157097505606
5,104.4433560090703,104.666373,2,-0.2230169909296933,103.999708,0.44364800907030144,114.666348,-10.2229919909297
6,135.83673469387756,135.999284,1,-0.16254930612242902,135.999284,-0.16254930612242902,135.999284,-0.16254930612242902
7,151.25478458049886,151.332943,4,-0.07815841950113622,151.999608,-0.744823419501131,157.332928,-6.078143419501146
8,168.8090702947846,168.666233,2,0.1428372947845844,167.999568,0.8095022947845791,178.666208,-9.857137705215422
9,199.04145124716553,199.332823,4,-0.2913717528344648,199.999488,-0.958036752834488,199.999488,-0.958036752834488
10,206.47183673469388,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.7525116156462547,,1.3466489637188217,,4.103013751700681
Proximity Scores,,,,1.1287702453949955,,2.0199784955244713,,6.154536013891056
Percent of ground truth boundaries,0.5
Percent of ground truth boundaries found,0.38461538461538464
Average time between beats,0.6666650000000001

CallMeMaybe_MSAF_Laplacian_KMeansCNMF.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,4.272471655328798,5.33332,1,-1.0608483446712018,5.33332,-1.0608483446712018,5.33332,-1.0608483446712018
3,9.798820861678005,9.999975,4,-0.20115413832199458,10.66664,-0.8678191383219946,5.33332,4.465500861678005
4,32.507936507936506,32.667287,2,-0.1593504920634956,32.000772,0.5071645079365084,26.6666,5.841336507936507
5,63.80843537414966,64.001988,1,-0.19355262585033728,64.001988,-0.19355262585033728,69.335308,-5.526872625850338
6,69.0097052154195,69.335308,1,-0.3256027845804965,69.335308,-0.3256027845804965,69.335308,-0.3256027845804965
7,92.5082993197279,92.666403,4,-0.15810368027210586,93.333068,-0.8247686802721006,90.666408,1.8418913197278926
8,140.66648526077097,140.665939,4,0.0005462607709603162,141.332604,-0.6661187392290344,135.999284,4.66720126077098
9,155.52725623582765,155.332933,2,0.1943232358276532,154.666268,0.8609882358276479,157.332928,-1.8056717641723594
10,203.08172335600906,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.28668519529478065,,0.6633578820861652,,3.1918656836734725
