MSAF_Laplacian_Laplacian

CallMeMaybe_MSAF_Laplacian_Laplacian.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,4.272471655328798,4.5,2,-0.2275283446712022,4.0,0.2724716553287978,4.0,0.2724716553287978
3,9.798820861678005,9.999996,1,-0.20117513832199485,9.999996,-0.20117513832199485,4.0,5.798820861678005
4,32.507936507936506,32.499996,2,0.007940507936503138,31.999996,0.5079405079365067,31.999996,0.5079405079365067
5,63.80843537414966,63.999996,1,-0.19156062585034306,63.999996,-0.19156062585034306,63.999996,-0.19156062585034306
6,69.0097052154195,68.999996,3,0.009709215419505313,69.999996,-0.9902907845804947,63.999996,5.009709215419498
7,92.5082993197279,92.499996,2,0.008303319727900771,91.999996,0.5083033197279008,91.999996,0.5083033197279008
8,140.66648526077097,140.499996,2,0.16648926077095894,139.999996,0.6664892607709589,139.999996,0.6664892607709589
9,155.52725623582765,155.499996,4,0.027260235827640145,155.999996,-0.47273976417235986,139.999996,15.52726023582764
10,203.08172335600906,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.10499583106575605,,0.4763713820861696,,3.5603194603174564
Proximity Scores,,,,0.2099916621315121,,0.9527427641723392,,7.120638920634913
Percent of ground truth boundaries (0.5 sec),0.3
Percent of ground truth boundaries found (0.5 sec),0.25
Percent of ground truth boundaries (3 sec),0.6
Percent of ground truth boundaries found (3 sec),0.5
Average time between beats,0.5
Rand Index Score,0.7054888845170175

Clocks_MSAF_Laplacian_Laplacian.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.13931972789115646,0.0873983958333,1,0.051921332057856456,0.0873983958333,0.051921332057856456,0.0873983958333,0.051921332057856456
3,15.232290249433106,15.233655,2,-0.001364750566894557,14.77564,0.45665024943310684,29.43212,-14.199829750566895
4,75.2326530612245,75.23362,1,-0.0009669387755053549,75.23362,-0.0009669387755053549,73.40156,1.8310930612244931
5,88.97886621315193,88.97407,3,0.0047962131519341256,89.8901,-0.9112337868480722,88.05804,0.9208262131519263
6,145.31047619047618,145.309915,2,0.0005611904761906317,144.8519,0.4585761904761796,146.68396,-1.373483809523833
7,176.4716553287982,176.454935,2,0.0167203287981863,175.99692,0.4747353287982037,175.99692,0.4747353287982037
8,178.2828117913832,178.286995,2,-0.004183208616780121,177.82898,0.45383179138320884,175.99692,2.2858917913832215
9,191.14666666666668,191.111415,2,0.03525166666668156,190.6534,0.4932666666666705,205.30988,-14.163213333333317
10,250.1253514739229,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.014470703638753638,,0.41264778555485043,,4.412624327504968
Proximity Scores,,,,0.03178385897486682,,0.9063511595415474,,9.692011724909058
Percent of ground truth boundaries (0.5 sec),0.3
Percent of ground truth boundaries found (0.5 sec),0.2
Percent of ground truth boundaries (3 sec),0.7
Percent of ground truth boundaries found (3 sec),0.5
Average time between beats,0.4552846666667
Rand Index Score,0.7527419879198536

CoolerThanMe_MSAF_Laplacian_Laplacian.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
