MSAF_StructuralFeature_2DFourierMagnitudeCoefficients

Bulletproof_MSAF_StructuralFeature_2DFourierMagnitudeCoefficients.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,0.2786394557823129,5.33332,1,-5.054680544217686,5.33332,-5.054680544217686,0.0,0.2786394557823129
3,47.83310657596372,48.000488,1,-0.16738142403627876,48.000488,-0.16738142403627876,48.000488,-0.16738142403627876
4,102.1213605442177,101.999713,2,0.1216475442176943,101.333048,0.788312544217689,90.666408,11.45495254421769
5,121.76544217687075,122.000271,4,-0.23482882312924858,122.666936,-0.9014938231292575,114.666348,7.09909417687075
6,162.957641723356,162.666248,1,0.2913937233560091,162.666248,0.2913937233560091,157.332928,5.624713723355995
7,190.31074829931973,189.999513,2,0.31123529931971916,189.332848,0.9779002993197139,199.999488,-9.688739700680287
8,206.47183673469388,NA,NA,NA,NA,NA,NA,NA
Averages,,,,1.0301945597127726,,1.3635270597127722,,5.7189201708238855
Proximity Scores,,,,1.5452957028084158,,2.0452957028084153,,8.578401702240082
Percent of ground truth boundaries,0.375
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

CallMeMaybe_MSAF_StructuralFeature_2DFourierMagnitudeCoefficients.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,4.272471655328798,5.33332,1,-1.0608483446712018,5.33332,-1.0608483446712018,5.33332,-1.0608483446712018
3,14.86077097505669,14.66663,3,0.19414097505669048,15.99996,-1.1391890249433096,5.33332,9.527450975056691
4,31.48625850340136,31.333969,4,0.15228950340135938,32.000772,-0.5145134965986387,26.6666,4.81965850340136
5,44.535873015873015,44.667163,4,-0.13128998412698678,45.333828,-0.7979549841269815,48.000488,-3.4646149841269818
6,64.27283446712018,64.001988,1,0.27084646712017957,64.001988,0.27084646712017957,69.335308,-5.062473532879821
7,92.04390022675737,91.999738,3,0.04416222675737913,93.333068,-1.2891677732426245,90.666408,1.3774922267573686
8,123.01931972789116,123.333601,2,-0.31428127210884327,122.666936,0.35238372789115147,114.666348,8.352971727891159
9,139.04108843537415,139.332609,2,-0.2915205646258414,138.665944,0.3751444353741533,135.999284,3.0418044353741607
10,154.96997732426303,154.666268,1,0.3037093242630249,154.666268,0.3037093242630249,157.332928,-2.3629506757369825
11,174.01034013605442,173.999553,2,0.010787136054432267,173.332888,0.677452136054427,178.666208,-4.655867863945588
12,203.08172335600906,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.2773875798185939,,0.6781209714285692,,4.372613326984132
