Ruptures_Window_Boundary8

Bulletproof_Ruptures_Window_Boundary8.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,26.23854875283447,25.999935,4,0.23861375283446762,26.6666,-0.42805124716553067,26.6666,-0.42805124716553067
3,91.83492063492064,91.999738,3,-0.16481736507935807,90.666408,1.1685126349206314,90.666408,1.1685126349206314
4,113.60362811791383,113.333018,3,0.27061011791383294,114.666348,-1.0627198820861707,114.666348,-1.0627198820861707
5,134.15328798185942,134.000003,2,0.15328498185942863,133.333576,0.8197119818594274,135.999284,-1.8459960181405677
6,203.6390022675737,203.332813,2,0.3061892675736999,202.666148,0.9728542675736946,199.999488,3.6395142675736736
7,227.43945578231293,225.5111395,1,1.9283162823129203,225.5111395,1.9283162823129203,225.5111395,1.9283162823129203
8,228.94875283446711,225.5111395,1,3.437613334467102,225.5111395,3.437613334467102,225.5111395,3.437613334467102
9,230.98049886621314,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.9284921574344013,,1.4025399471979252,,1.9301033809523709
Proximity Scores,,,,1.3927417180058967,,2.1038151803348386,,2.8951623093343293
Percent of ground truth boundaries,0.6666666666666666
Percent of ground truth boundaries found,0.46153846153846156
Average time between beats,0.6666650000000001

CallMeMaybe_Ruptures_Window_Boundary8.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,26.23854875283447,25.999935,4,0.23861375283446762,26.6666,-0.42805124716553067,26.6666,-0.42805124716553067
3,91.83492063492064,91.999738,3,-0.16481736507935807,90.666408,1.1685126349206314,90.666408,1.1685126349206314
4,113.60362811791383,113.333018,3,0.27061011791383294,114.666348,-1.0627198820861707,114.666348,-1.0627198820861707
5,134.15328798185942,134.000003,2,0.15328498185942863,133.333576,0.8197119818594274,135.999284,-1.8459960181405677
6,203.6390022675737,203.332813,2,0.3061892675736999,202.666148,0.9728542675736946,199.999488,3.6395142675736736
7,227.43945578231293,225.5111395,1,1.9283162823129203,225.5111395,1.9283162823129203,225.5111395,1.9283162823129203
8,228.94875283446711,225.5111395,1,3.437613334467102,225.5111395,3.437613334467102,225.5111395,3.437613334467102
9,230.98049886621314,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.9284921574344013,,1.4025399471979252,,1.9301033809523709
Proximity Scores,,,,1.3927417180058967,,2.1038151803348386,,2.8951623093343293
Percent of ground truth boundaries,0.6666666666666666
Percent of ground truth boundaries found,0.46153846153846156
Average time between beats,0.6666650000000001

Clocks_Ruptures_Window_Boundary8.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,26.23854875283447,25.999935,4,0.23861375283446762,26.6666,-0.42805124716553067,26.6666,-0.42805124716553067
3,91.83492063492064,91.999738,3,-0.16481736507935807,90.666408,1.1685126349206314,90.666408,1.1685126349206314
4,113.60362811791383,113.333018,3,0.27061011791383294,114.666348,-1.0627198820861707,114.666348,-1.0627198820861707
5,134.15328798185942,134.000003,2,0.15328498185942863,133.333576,0.8197119818594274,135.999284,-1.8459960181405677
6,203.6390022675737,203.332813,2,0.3061892675736999,202.666148,0.9728542675736946,199.999488,3.6395142675736736
7,227.43945578231293,225.5111395,1,1.9283162823129203,225.5111395,1.9283162823129203,225.5111395,1.9283162823129203
8,228.94875283446711,225.5111395,1,3.437613334467102,225.5111395,3.437613334467102,225.5111395,3.437613334467102
9,230.98049886621314,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.9284921574344013,,1.4025399471979252,,1.9301033809523709
Proximity Scores,,,,1.3927417180058967,,2.1038151803348386,,2.8951623093343293
Percent of ground truth boundaries,0.6666666666666666
Percent of ground truth boundaries found,0.46153846153846156
Average time between beats,0.6666650000000001

CoolerThanMe_Ruptures_Window_Boundary8.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.0,NA,NA,NA,NA,NA,NA,NA
2,26.23854875283447,25.999935,4,0.23861375283446762,26.6666,-0.42805124716553067,26.6666,-0.42805124716553067
3,91.83492063492064,91.999738,3,-0.16481736507935807,90.666408,1.1685126349206314,90.666408,1.1685126349206314
4,113.60362811791383,113.333018,3,0.27061011791383294,114.666348,-1.0627198820861707,114.666348,-1.0627198820861707
5,134.15328798185942,134.000003,2,0.15328498185942863,133.333576,0.8197119818594274,135.999284,-1.8459960181405677
6,203.6390022675737,203.332813,2,0.3061892675736999,202.666148,0.9728542675736946,199.999488,3.6395142675736736
7,227.43945578231293,225.5111395,1,1.9283162823129203,225.5111395,1.9283162823129203,225.5111395,1.9283162823129203
8,228.94875283446711,225.5111395,1,3.437613334467102,225.5111395,3.437613334467102,225.5111395,3.437613334467102
