timestamp,beat
3.99,3.0
4.48,4.0
4.98,1.0
5.48,2.0
5.98,3.0
6.48,4.0
6.98,1.0
7.49,2.0
7.97,3.0
8.46,4.0
8.97,1.0
9.48,2.0
9.97,3.0
10.47,4.0
10.97,1.0
11.47,2.0
11.97,3.0
12.47,4.0
12.97,1.0
13.47,2.0
13.97,3.0
14.47,4.0
14.97,1.0
15.47,2.0
15.97,3.0
16.47,4.0
16.97,1.0
17.48,2.0
17.97,3.0
18.47,4.0
18.97,1.0
19.47,2.0
19.97,3.0
20.47,4.0
20.97,1.0
21.47,2.0
21.97,3.0
22.47,4.0
22.97,1.0
23.47,2.0
23.97,3.0
24.47,4.0
24.97,1.0
25.47,2.0
25.97,3.0
26.47,4.0
26.97,1.0
27.47,2.0
27.97,3.0
28.48,4.0
28.97,1.0
29.48,2.0
29.97,3.0
30.48,4.0
30.98,1.0
31.48,2.0
31.97,3.0
32.48,4.0
32.97,1.0
33.48,2.0
33.98,3.0
34.48,4.0
34.98,1.0
35.48,2.0
35.98,3.0
36.48,4.0
36.98,1.0
37.48,2.0
37.98,3.0
38.48,4.0
38.98,1.0
39.48,2.0
39.98,3.0
40.48,4.0
40.98,1.0
41.48,2.0
41.98,3.0
42.48,4.0
42.98,1.0
43.48,2.0
43.98,3.0
44.48,4.0
44.98,1.0
45.48,2.0
45.98,3.0
46.48,4.0
46.98,1.0
47.48,2.0
47.98,3.0
48.48,4.0
48.97,1.0
49.48,2.0
49.98,3.0
50.48,4.0
50.98,1.0
51.48,2.0
51.98,3.0
52.48,4.0
52.98,1.0
53.48,2.0
53.98,3.0
54.48,4.0
54.98,1.0
55.48,2.0
55.98,3.0
56.48,4.0
56.98,1.0
57.48,2.0
57.98,3.0
58.48,4.0
58.98,1.0
59.48,2.0
59.98,3.0
60.48,4.0
60.98,1.0
61.48,2.0
61.98,3.0
62.48,4.0
62.98,1.0
63.48,2.0
63.97,3.0
64.48,4.0
64.98,1.0
65.48,2.0
65.98,3.0
66.48,4.0
66.98,1.0
67.46,2.0
67.97,3.0
68.47,4.0
68.97,1.0
