timestamp,beat
0.08,3.0
0.53,4.0
0.99,1.0
1.45,2.0
1.90,3.0
2.36,4.0
2.82,1.0
3.28,2.0
3.73,3.0
4.21,4.0
4.66,1.0
5.11,2.0
5.54,3.0
6.00,4.0
6.47,1.0
6.93,2.0
7.39,3.0
7.84,4.0
8.30,1.0
8.76,2.0
9.22,3.0
9.68,4.0
10.13,1.0
10.59,2.0
11.05,3.0
11.51,4.0
11.97,1.0
12.43,2.0
12.88,3.0
13.35,4.0
13.81,1.0
14.26,2.0
14.73,3.0
15.18,4.0
15.64,1.0
16.10,2.0
16.56,3.0
17.01,4.0
17.47,1.0
17.93,2.0
18.39,3.0
18.85,4.0
19.31,1.0
19.76,2.0
20.22,3.0
20.68,4.0
21.14,1.0
21.59,2.0
22.05,3.0
22.51,4.0
22.97,1.0
23.43,2.0
23.89,3.0
24.35,4.0
24.80,1.0
25.26,2.0
25.72,3.0
26.18,4.0
26.63,1.0
27.09,2.0
27.55,3.0
28.01,4.0
28.47,1.0
28.92,2.0
29.38,3.0
29.84,4.0
30.30,1.0
30.76,2.0
31.22,3.0
31.68,4.0
32.13,1.0
32.59,2.0
33.05,3.0
33.50,4.0
33.96,1.0
34.42,2.0
34.88,3.0
35.34,4.0
35.79,1.0
36.25,2.0
36.71,3.0
37.17,4.0
37.63,1.0
38.09,2.0
38.55,3.0
39.00,4.0
39.46,1.0
39.92,2.0
40.38,3.0
40.84,4.0
41.30,1.0
41.75,2.0
42.21,3.0
42.67,4.0
43.12,1.0
43.58,2.0
44.04,3.0
44.50,4.0
44.96,1.0
45.42,2.0
45.87,3.0
46.33,4.0
46.79,1.0
47.25,2.0
47.70,3.0
48.16,4.0
48.62,1.0
49.08,2.0
49.54,3.0
49.99,4.0
50.45,1.0
50.91,2.0
51.37,3.0
51.83,4.0
52.29,1.0
52.74,2.0
53.20,3.0
53.66,4.0
54.12,1.0
54.58,2.0
55.03,3.0
55.49,4.0
55.95,1.0
56.41,2.0
56.87,3.0
57.32,4.0
57.78,1.0
58.24,2.0
58.70,3.0
59.15,4.0
59.61,1.0
60.07,2.0
60.53,3.0
60.99,4.0
61.45,1.0
61.90,2.0
62.36,3.0
62.82,4.0
63.28,1.0
63.74,2.0
64.20,3.0
64.66,4.0
65.12,1.0
65.57,2.0
66.03,3.0
66.48,4.0
66.94,1.0
67.40,2.0
67.86,3.0
68.32,4.0
68.78,1.0
69.24,2.0
69.70,3.0
70.15,4.0
70.61,1.0
71.07,2.0
71.53,3.0
71.99,4.0
72.44,1.0
72.90,2.0
73.36,3.0
73.81,4.0
74.28,1.0
74.73,2.0
75.19,3.0
75.65,4.0
76.10,1.0
76.56,2.0
77.02,3.0
77.48,4.0
77.94,1.0
78.40,2.0
78.85,3.0
79.31,4.0
79.77,1.0
80.23,2.0
80.69,3.0
81.14,4.0
81.60,1.0
82.06,2.0
82.52,3.0
82.98,4.0
83.43,1.0
83.89,2.0
84.35,3.0
84.81,4.0
85.27,1.0
85.73,2.0
86.18,3.0
86.64,4.0
87.10,1.0
87.56,2.0
88.02,3.0
88.47,4.0
88.93,1.0
89.39,2.0
89.85,3.0
90.30,4.0
90.77,1.0
91.22,2.0
