timestamp,beat
2.66,1.0
3.35,2.0
4.00,3.0
4.65,4.0
5.32,1.0
5.98,2.0
6.65,3.0
7.32,4.0
7.98,1.0
8.65,2.0
9.32,3.0
9.98,4.0
10.65,1.0
11.32,2.0
11.99,3.0
12.66,4.0
13.32,1.0
13.99,2.0
14.65,3.0
15.32,4.0
15.99,1.0
16.65,2.0
17.32,3.0
17.99,4.0
18.65,1.0
19.32,2.0
19.99,3.0
20.65,4.0
21.32,1.0
21.99,2.0
22.65,3.0
23.33,4.0
23.98,1.0
24.65,2.0
25.32,3.0
25.99,4.0
26.66,1.0
27.33,2.0
27.99,3.0
28.66,4.0
29.32,1.0
30.00,2.0
30.66,3.0
31.33,4.0
31.99,1.0
32.66,2.0
33.32,3.0
34.00,4.0
34.66,1.0
35.33,2.0
35.99,3.0
36.66,4.0
37.32,1.0
38.00,2.0
38.66,3.0
39.33,4.0
39.99,1.0
40.66,2.0
41.34,3.0
42.00,4.0
42.66,1.0
43.33,2.0
43.99,3.0
44.66,4.0
45.32,1.0
45.97,2.0
46.66,3.0
47.33,4.0
47.99,1.0
48.65,2.0
49.33,3.0
49.99,4.0
50.66,1.0
51.32,2.0
51.99,3.0
52.64,4.0
53.33,1.0
53.99,2.0
54.67,3.0
55.32,4.0
55.99,1.0
56.65,2.0
57.33,3.0
57.99,4.0
58.66,1.0
59.32,2.0
59.99,3.0
60.65,4.0
61.33,1.0
61.99,2.0
62.67,3.0
63.32,4.0
64.00,1.0
64.65,2.0
65.33,3.0
65.99,4.0
66.66,1.0
67.32,2.0
67.99,3.0
68.66,4.0
69.32,1.0
69.99,2.0
70.66,3.0
71.33,4.0
71.99,1.0
72.66,2.0
73.32,3.0
73.99,4.0
74.66,1.0
75.33,2.0
75.99,3.0
76.66,4.0
77.32,1.0
78.00,2.0
78.65,3.0
79.33,4.0
79.99,1.0
80.66,2.0
81.31,3.0
82.00,4.0
82.66,1.0
83.33,2.0
83.99,3.0
84.66,4.0
85.32,1.0
85.99,2.0
86.66,3.0
87.33,4.0
87.99,1.0
88.66,2.0
89.33,3.0
90.00,4.0
90.65,1.0
91.33,2.0
91.99,3.0
92.66,4.0
93.33,1.0
93.99,2.0
94.66,3.0
95.32,4.0
96.00,1.0
96.66,2.0
97.33,3.0
97.99,4.0
98.67,1.0
99.33,2.0
99.99,3.0
100.66,4.0
101.33,1.0
101.99,2.0
102.66,3.0
103.33,4.0
103.99,1.0
104.66,2.0
105.33,3.0
105.99,4.0
106.66,1.0
107.30,2.0
108.00,3.0
108.66,4.0
109.33,1.0
109.99,2.0
110.66,3.0
111.33,4.0
111.99,1.0
112.67,2.0
113.33,3.0
113.99,4.0
114.66,1.0
115.33,2.0
116.00,3.0
116.66,4.0
117.33,1.0
118.00,2.0
118.66,3.0
119.33,4.0
119.99,1.0
120.67,2.0
121.32,3.0
122.00,4.0
122.66,1.0
123.33,2.0
123.99,3.0
124.67,4.0
125.33,1.0
125.98,2.0
126.66,3.0
127.33,4.0
127.99,1.0
128.67,2.0
129.33,3.0
130.00,4.0
130.66,1.0
131.31,2.0
132.00,3.0
132.66,4.0
133.33,1.0
133.98,2.0
134.63,3.0
135.33,4.0
135.99,1.0
136.66,2.0
137.32,3.0
138.00,4.0
138.66,1.0
139.33,2.0
139.99,3.0
140.65,4.0
141.32,1.0
141.99,2.0
142.66,3.0
143.33,4.0
143.99,1.0
144.66,2.0
145.32,3.0
145.99,4.0
146.66,1.0
147.33,2.0
147.99,3.0
148.66,4.0
149.32,1.0
149.99,2.0
150.66,3.0
151.33,4.0
151.99,1.0
152.66,2.0
153.32,3.0
153.99,4.0
154.66,1.0
155.33,2.0
155.99,3.0
156.66,4.0
157.32,1.0
157.99,2.0
158.66,3.0
159.32,4.0
160.00,1.0
160.66,2.0
161.33,3.0
161.99,4.0
162.66,1.0
163.33,2.0
163.99,3.0
164.66,4.0
165.33,1.0
165.99,2.0
166.66,3.0
167.33,4.0
167.99,1.0
168.66,2.0
169.33,3.0
169.99,4.0
170.66,1.0
171.33,2.0
172.00,3.0
172.66,4.0
173.33,1.0
173.96,2.0
174.66,3.0
175.33,4.0
176.00,1.0
176.66,2.0
177.33,3.0
177.99,4.0
178.66,1.0
179.33,2.0
179.99,3.0
180.66,4.0
181.33,1.0
181.99,2.0
182.66,3.0
183.32,4.0
184.00,1.0
184.66,2.0
185.33,3.0
185.99,4.0
186.66,1.0
187.33,2.0
188.00,3.0
188.66,4.0
189.33,1.0
189.99,2.0
190.66,3.0
191.33,4.0
191.99,1.0
192.66,2.0
193.33,3.0
193.99,4.0
194.66,1.0
195.32,2.0
196.00,3.0
196.66,4.0
197.33,1.0
197.99,2.0
198.66,3.0
199.33,4.0
200.02,1.0
200.65,2.0
201.35,3.0
202.02,4.0
202.66,1.0
203.35,2.0
204.01,3.0
204.64,4.0
205.34,1.0
206.00,2.0
206.67,3.0
207.30,4.0
207.99,1.0
208.66,2.0
209.33,3.0
210.02,4.0
210.65,1.0
211.30,2.0
212.00,3.0
212.66,4.0
213.33,1.0
214.00,2.0
214.67,3.0
215.34,4.0
215.96,1.0
216.63,2.0
217.33,3.0
217.99,4.0
218.66,1.0
219.32,2.0
219.95,3.0
220.60,4.0
221.18,1.0
221.78,2.0
222.40,3.0
222.99,4.0
223.58,1.0
224.22,2.0
224.81,3.0
225.42,4.0
226.00,1.0
226.59,2.0
227.19,3.0
227.79,4.0
228.41,1.0
229.02,2.0
229.62,3.0
230.19,4.0
230.80,1.0
231.39,2.0
232.01,3.0
