timestamp,beat
0.27,2.0
0.78,3.0
1.30,4.0
1.82,1.0
2.34,2.0
2.85,3.0
3.37,4.0
3.89,1.0
4.41,2.0
4.93,3.0
5.45,4.0
5.94,1.0
6.48,2.0
7.00,3.0
7.52,4.0
8.03,1.0
8.55,2.0
9.07,3.0
9.59,4.0
10.11,1.0
10.62,2.0
11.14,3.0
11.66,4.0
12.17,1.0
12.70,2.0
13.21,3.0
13.73,4.0
14.25,1.0
14.77,2.0
15.29,3.0
15.80,4.0
16.32,1.0
16.84,2.0
17.36,3.0
17.88,4.0
18.39,1.0
18.91,2.0
19.43,3.0
19.95,4.0
20.44,1.0
20.98,2.0
21.50,3.0
22.02,4.0
22.54,1.0
23.05,2.0
23.57,3.0
24.09,4.0
24.61,1.0
25.13,2.0
25.65,3.0
26.16,4.0
26.68,1.0
27.20,2.0
27.72,3.0
28.23,4.0
28.75,1.0
29.27,2.0
29.78,3.0
30.30,4.0
30.82,1.0
31.34,2.0
31.86,3.0
32.37,4.0
32.89,1.0
33.41,2.0
33.93,3.0
34.45,4.0
34.97,1.0
35.48,2.0
36.00,3.0
36.52,4.0
37.02,1.0
37.55,2.0
38.07,3.0
38.59,4.0
39.10,1.0
39.62,2.0
40.14,3.0
40.66,4.0
41.18,1.0
41.69,2.0
42.21,3.0
42.73,4.0
43.24,1.0
43.76,2.0
44.28,3.0
44.80,4.0
45.32,1.0
45.84,2.0
46.35,3.0
46.87,4.0
47.39,1.0
47.91,2.0
48.43,3.0
48.94,4.0
49.46,1.0
49.98,2.0
50.50,3.0
51.01,4.0
51.53,1.0
52.05,2.0
52.56,3.0
53.09,4.0
53.61,1.0
54.13,2.0
54.64,3.0
55.16,4.0
55.68,1.0
56.19,2.0
56.71,3.0
57.23,4.0
57.75,1.0
58.26,2.0
58.78,3.0
59.30,4.0
59.81,1.0
60.33,2.0
60.85,3.0
61.37,4.0
61.89,1.0
62.40,2.0
62.92,3.0
63.44,4.0
63.96,1.0
64.47,2.0
64.99,3.0
65.51,4.0
66.03,1.0
66.54,2.0
67.06,3.0
67.58,4.0
68.10,1.0
68.61,2.0
69.13,3.0
69.65,4.0
70.17,1.0
70.68,2.0
71.21,3.0
71.72,4.0
72.24,1.0
72.76,2.0
73.28,3.0
73.79,4.0
74.32,1.0
74.83,2.0
75.35,3.0
75.86,4.0
76.38,1.0
76.90,2.0
77.41,3.0
77.93,4.0
78.45,1.0
78.97,2.0
79.49,3.0
80.01,4.0
80.52,1.0
81.04,2.0
81.56,3.0
82.08,4.0
82.60,1.0
83.11,2.0
83.64,3.0
84.15,4.0
84.67,1.0
85.19,2.0
85.70,3.0
86.22,4.0
86.74,1.0
87.25,2.0
87.78,3.0
88.29,4.0
88.81,1.0
89.33,2.0
89.85,3.0
90.36,4.0
90.88,1.0
91.40,2.0
91.92,3.0
92.43,4.0
92.96,1.0
93.47,2.0
93.99,3.0
94.50,4.0
95.02,1.0
95.54,2.0
96.06,3.0
96.57,4.0
97.10,1.0
97.62,2.0
98.13,3.0
98.65,4.0
99.17,1.0
99.68,2.0
100.20,3.0
100.72,4.0
101.24,1.0
101.76,2.0
102.27,3.0
102.79,4.0
103.31,1.0
103.83,2.0
104.35,3.0
104.86,4.0
105.38,1.0
105.90,2.0
106.41,3.0
106.93,4.0
107.45,1.0
107.97,2.0
108.49,3.0
109.00,4.0
109.52,1.0
110.04,2.0
110.55,3.0
111.07,4.0
111.59,1.0
112.11,2.0
112.63,3.0
113.15,4.0
113.66,1.0
114.18,2.0
114.70,3.0
115.22,4.0
115.74,1.0
116.25,2.0
