timestamp,beat
0.22,3.0
0.72,4.0
1.24,1.0
1.74,2.0
2.22,3.0
2.72,4.0
3.24,1.0
3.74,2.0
4.24,3.0
4.74,4.0
5.24,1.0
5.74,2.0
6.24,3.0
6.74,4.0
7.24,1.0
7.74,2.0
8.22,3.0
8.64,4.0
9.04,1.0
9.48,2.0
9.98,3.0
10.46,4.0
10.98,1.0
11.46,2.0
11.96,3.0
12.46,4.0
12.98,1.0
13.48,2.0
13.96,3.0
14.48,4.0
14.96,1.0
15.46,2.0
15.98,3.0
16.46,4.0
16.96,1.0
17.46,2.0
17.96,3.0
18.46,4.0
18.96,1.0
19.46,2.0
19.96,3.0
20.46,4.0
20.96,1.0
21.48,2.0
21.96,3.0
22.48,4.0
22.96,1.0
23.46,2.0
23.98,3.0
24.48,4.0
24.98,1.0
25.48,2.0
25.98,3.0
26.48,4.0
26.96,1.0
27.48,2.0
27.98,3.0
28.48,4.0
28.98,1.0
29.48,2.0
29.98,3.0
30.48,4.0
30.98,1.0
31.48,2.0
31.98,3.0
32.48,4.0
32.96,1.0
33.48,2.0
33.98,3.0
34.48,4.0
34.98,1.0
35.48,2.0
35.98,3.0
36.48,4.0
36.98,1.0
37.46,2.0
37.98,3.0
38.48,4.0
38.98,1.0
39.48,2.0
39.98,3.0
40.48,4.0
40.98,1.0
41.46,2.0
41.98,3.0
42.48,4.0
42.98,1.0
43.48,2.0
43.98,3.0
44.48,4.0
44.98,1.0
45.48,2.0
45.98,3.0
46.48,4.0
46.98,1.0
47.48,2.0
47.98,3.0
48.48,4.0
48.96,1.0
49.46,2.0
49.98,3.0
50.48,4.0
50.98,1.0
51.46,2.0
51.98,3.0
52.48,4.0
52.98,1.0
53.46,2.0
53.98,3.0
54.48,4.0
54.98,1.0
55.46,2.0
55.98,3.0
56.48,4.0
56.98,1.0
57.48,2.0
57.98,3.0
58.48,4.0
58.98,1.0
59.46,2.0
59.98,3.0
60.48,4.0
60.98,1.0
61.48,2.0
61.98,3.0
62.48,4.0
62.98,1.0
63.48,2.0
63.98,3.0
64.48,4.0
64.98,1.0
65.48,2.0
65.98,3.0
66.48,4.0
66.98,1.0
67.48,2.0
67.98,3.0
68.48,4.0
68.98,1.0
69.48,2.0
69.96,3.0
70.46,4.0
70.96,1.0
71.46,2.0
71.96,3.0
72.46,4.0
72.96,1.0
73.48,2.0
73.98,3.0
74.48,4.0
74.98,1.0
75.48,2.0
75.98,3.0
76.48,4.0
76.98,1.0
77.48,2.0
77.96,3.0
78.46,4.0
78.98,1.0
79.48,2.0
79.96,3.0
80.48,4.0
80.96,1.0
81.48,2.0
81.98,3.0
82.48,4.0
82.98,1.0
83.48,2.0
83.98,3.0
84.48,4.0
84.98,1.0
85.48,2.0
85.98,3.0
86.48,4.0
86.96,1.0
87.48,2.0
87.96,3.0
88.48,4.0
88.98,1.0
89.48,2.0
89.98,3.0
90.48,4.0
90.98,1.0
91.48,2.0
91.98,3.0
92.48,4.0
92.96,1.0
93.48,2.0
93.98,3.0
94.48,4.0
94.98,1.0
95.48,2.0
95.98,3.0
96.48,4.0
96.98,1.0
97.46,2.0
97.98,3.0
98.48,4.0
98.98,1.0
99.48,2.0
99.98,3.0
100.48,4.0
100.98,1.0
101.46,2.0
101.98,3.0
102.48,4.0
102.98,1.0
103.48,2.0
103.98,3.0
104.48,4.0
104.98,1.0
105.48,2.0
105.98,3.0
106.48,4.0
106.98,1.0
107.48,2.0
107.98,3.0
108.48,4.0
108.96,1.0
109.46,2.0
109.98,3.0
110.48,4.0
110.98,1.0
111.46,2.0
111.98,3.0
112.48,4.0
112.98,1.0
113.48,2.0
113.98,3.0
114.48,4.0
114.98,1.0
115.48,2.0
115.98,3.0
116.48,4.0
116.98,1.0
117.48,2.0
117.98,3.0
118.48,4.0
118.98,1.0
119.46,2.0
119.98,3.0
120.48,4.0
120.98,1.0
121.48,2.0
121.98,3.0
122.48,4.0
122.98,1.0
123.48,2.0
123.98,3.0
124.48,4.0
124.98,1.0
125.48,2.0
125.98,3.0
126.48,4.0
126.98,1.0
127.46,2.0
127.98,3.0
128.48,4.0
128.98,1.0
129.48,2.0
129.98,3.0
130.48,4.0
130.98,1.0
131.46,2.0
131.98,3.0
132.48,4.0
132.96,1.0
133.48,2.0
133.98,3.0
134.48,4.0
134.98,1.0
135.46,2.0
135.98,3.0
136.48,4.0
136.98,1.0
137.48,2.0
137.98,3.0
138.48,4.0
138.98,1.0
139.48,2.0
140.00,3.0
140.58,4.0
141.12,1.0
141.70,2.0
142.26,3.0
142.80,4.0
143.30,1.0
143.78,2.0
144.24,3.0
144.74,4.0
145.24,1.0
145.72,2.0
146.24,3.0
146.74,4.0
147.24,1.0
147.72,2.0
148.22,3.0
148.72,4.0
149.24,1.0
149.72,2.0
150.22,3.0
150.74,4.0
151.22,1.0
151.72,2.0
152.24,3.0
152.74,4.0
153.18,1.0
153.66,2.0
154.10,3.0
154.56,4.0
