timestamp,beat
0.08,3.0
0.54,4.0
1.00,1.0
1.46,2.0
1.90,3.0
2.38,4.0
2.82,1.0
3.28,2.0
3.74,3.0
4.20,4.0
4.66,1.0
5.12,2.0
5.54,3.0
6.02,4.0
6.48,1.0
6.94,2.0
7.40,3.0
7.86,4.0
8.30,1.0
8.76,2.0
9.22,3.0
9.68,4.0
10.14,1.0
10.60,2.0
11.04,3.0
11.52,4.0
11.98,1.0
12.42,2.0
12.88,3.0
13.36,4.0
13.82,1.0
14.26,2.0
14.72,3.0
15.18,4.0
15.64,1.0
16.10,2.0
16.54,3.0
17.00,4.0
17.48,1.0
17.92,2.0
18.38,3.0
18.84,4.0
19.30,1.0
19.76,2.0
20.22,3.0
20.68,4.0
21.14,1.0
21.60,2.0
22.06,3.0
22.50,4.0
22.96,1.0
23.42,2.0
23.88,3.0
24.34,4.0
24.80,1.0
25.26,2.0
25.72,3.0
26.18,4.0
26.64,1.0
27.08,2.0
27.54,3.0
28.00,4.0
28.46,1.0
28.92,2.0
29.38,3.0
29.84,4.0
30.30,1.0
30.76,2.0
31.22,3.0
31.66,4.0
32.14,1.0
32.58,2.0
33.04,3.0
33.50,4.0
33.96,1.0
34.42,2.0
34.88,3.0
35.34,4.0
35.80,1.0
36.26,2.0
36.72,3.0
37.16,4.0
37.62,1.0
38.08,2.0
38.54,3.0
39.00,4.0
39.46,1.0
39.92,2.0
40.38,3.0
40.84,4.0
41.30,1.0
41.74,2.0
42.20,3.0
42.66,4.0
43.12,1.0
43.58,2.0
44.04,3.0
44.50,4.0
44.96,1.0
45.42,2.0
45.88,3.0
46.34,4.0
46.80,1.0
47.24,2.0
47.70,3.0
48.16,4.0
48.62,1.0
49.08,2.0
49.54,3.0
50.00,4.0
50.46,1.0
50.92,2.0
51.36,3.0
51.82,4.0
52.28,1.0
52.74,2.0
53.20,3.0
53.66,4.0
54.12,1.0
54.58,2.0
55.04,3.0
55.48,4.0
55.96,1.0
56.40,2.0
56.86,3.0
57.32,4.0
57.78,1.0
58.24,2.0
58.70,3.0
59.14,4.0
59.62,1.0
60.08,2.0
60.52,3.0
61.00,4.0
61.46,1.0
61.90,2.0
62.36,3.0
62.80,4.0
63.28,1.0
63.74,2.0
64.20,3.0
64.66,4.0
65.12,1.0
65.56,2.0
66.02,3.0
66.48,4.0
66.94,1.0
67.40,2.0
67.86,3.0
68.32,4.0
68.78,1.0
69.24,2.0
69.68,3.0
70.16,4.0
70.62,1.0
71.06,2.0
71.52,3.0
72.00,4.0
72.44,1.0
72.90,2.0
73.34,3.0
73.82,4.0
74.28,1.0
74.72,2.0
75.20,3.0
75.64,4.0
76.10,1.0
76.56,2.0
77.02,3.0
77.48,4.0
77.94,1.0
78.40,2.0
78.86,3.0
79.30,4.0
79.78,1.0
80.22,2.0
80.70,3.0
81.12,4.0
81.60,1.0
82.06,2.0
82.52,3.0
82.98,4.0
83.42,1.0
83.88,2.0
84.34,3.0
84.80,4.0
85.26,1.0
85.72,2.0
86.18,3.0
86.64,4.0
87.10,1.0
87.56,2.0
88.02,3.0
88.48,4.0
88.92,1.0
89.40,2.0
89.84,3.0
90.30,4.0
90.76,1.0
91.22,2.0
91.68,3.0
92.14,4.0
92.60,1.0
93.04,2.0
93.50,3.0
93.98,4.0
94.42,1.0
94.88,2.0
95.34,3.0
95.80,4.0
96.26,1.0
96.72,2.0
97.18,3.0
97.64,4.0
98.10,1.0
98.54,2.0
99.00,3.0
99.46,4.0
99.92,1.0
100.38,2.0
100.84,3.0
101.30,4.0
101.76,1.0
102.22,2.0
102.68,3.0
103.14,4.0
103.58,1.0
104.04,2.0
104.50,3.0
104.96,4.0
105.42,1.0
105.88,2.0
106.34,3.0
106.80,4.0
107.26,1.0
107.70,2.0
108.16,3.0
108.62,4.0
109.08,1.0
109.54,2.0
110.00,3.0
110.46,4.0
110.92,1.0
111.38,2.0
111.84,3.0
112.28,4.0
112.74,1.0
113.20,2.0
113.66,3.0
114.12,4.0
114.58,1.0
115.04,2.0
115.50,3.0
115.96,4.0
116.42,1.0
116.88,2.0
117.32,3.0
117.78,4.0
118.24,1.0
118.70,2.0
119.16,3.0
119.62,4.0
120.08,1.0
120.54,2.0
121.00,3.0
121.46,4.0
121.92,1.0
122.36,2.0
122.82,3.0
123.28,4.0
123.76,1.0
124.20,2.0
124.66,3.0
125.12,4.0
125.60,1.0
126.26,2.0
126.96,3.0
127.64,4.0
128.32,1.0
128.78,2.0
129.24,3.0
129.70,4.0
130.16,1.0
130.62,2.0
131.06,3.0
131.52,4.0
131.98,1.0
132.44,2.0
132.90,3.0
133.36,4.0
133.82,1.0
134.28,2.0
134.74,3.0
135.20,4.0
135.66,1.0
136.12,2.0
136.58,3.0
137.02,4.0
137.50,1.0
137.94,2.0
138.42,3.0
138.86,4.0
139.32,1.0
139.78,2.0
140.24,3.0
140.70,4.0
141.14,1.0
141.60,2.0
142.08,3.0
142.52,4.0
142.98,1.0
143.44,2.0
143.90,3.0
144.36,4.0
144.82,1.0
145.28,2.0
145.74,3.0
146.18,4.0
146.64,1.0
147.12,2.0
147.58,3.0
148.02,4.0
148.48,1.0
148.94,2.0
149.40,3.0
149.86,4.0
150.32,1.0
150.78,2.0
151.22,3.0
151.68,4.0
152.14,1.0
152.60,2.0
153.06,3.0
153.52,4.0
153.98,1.0
154.44,2.0
154.90,3.0
155.36,4.0
155.82,1.0
156.26,2.0
156.74,3.0
157.18,4.0
157.70,1.0
158.26,2.0
158.80,3.0
159.24,4.0
159.72,1.0
160.16,2.0
160.62,3.0
161.08,4.0
161.54,1.0
162.00,2.0
162.46,3.0
162.92,4.0
163.38,1.0
163.82,2.0
164.28,3.0
164.68,4.0
165.06,1.0
165.46,2.0
165.88,3.0
166.34,4.0
166.80,1.0
167.26,2.0
167.72,3.0
168.18,4.0
168.64,1.0
169.10,2.0
169.56,3.0
170.00,4.0
170.46,1.0
170.94,2.0
171.40,3.0
171.84,4.0
172.30,1.0
172.76,2.0
173.22,3.0
173.68,4.0
174.14,1.0
174.60,2.0
175.06,3.0
175.50,4.0
175.96,1.0
176.42,2.0
176.88,3.0
177.34,4.0
177.80,1.0
178.26,2.0
178.72,3.0
179.16,4.0
179.62,1.0
180.08,2.0
180.54,3.0
181.00,4.0
181.46,1.0
181.94,2.0
182.38,3.0
182.84,4.0
183.30,1.0
183.76,2.0
184.22,3.0
184.66,4.0
185.12,1.0
185.58,2.0
186.04,3.0
186.50,4.0
186.96,1.0
187.42,2.0
187.88,3.0
188.34,4.0
188.80,1.0
189.26,2.0
189.72,3.0
190.18,4.0
190.62,1.0
191.08,2.0
191.54,3.0
192.00,4.0
192.46,1.0
192.92,2.0
193.36,3.0
193.82,4.0
194.28,1.0
194.74,2.0
195.20,3.0
195.66,4.0
196.12,1.0
196.56,2.0
197.04,3.0
197.50,4.0
197.94,1.0
198.42,2.0
198.86,3.0
199.32,4.0
199.78,1.0
200.24,2.0
200.70,3.0
201.16,4.0
201.60,1.0
202.06,2.0
202.52,3.0
203.00,4.0
203.44,1.0
203.92,2.0
204.38,3.0
204.82,4.0
205.28,1.0
205.74,2.0
206.18,3.0
206.66,4.0
207.12,1.0
207.54,2.0
208.02,3.0
208.48,4.0
208.94,1.0
209.40,2.0
209.86,3.0
210.32,4.0
210.78,1.0
211.24,2.0
211.70,3.0
212.14,4.0
212.62,1.0
213.08,2.0
213.52,3.0
213.98,4.0
214.44,1.0
214.90,2.0
215.36,3.0
215.82,4.0
216.28,1.0
216.74,2.0
217.20,3.0
217.66,4.0
218.10,1.0
218.56,2.0
219.02,3.0
219.48,4.0
219.94,1.0
220.40,2.0
220.86,3.0
221.32,4.0
221.78,1.0
222.22,2.0
222.68,3.0
223.14,4.0
223.60,1.0
224.04,2.0
224.52,3.0
224.98,4.0
225.44,1.0
225.90,2.0
226.34,3.0
226.80,4.0
227.28,1.0
227.72,2.0
228.18,3.0
228.64,4.0
229.10,1.0
229.56,2.0
230.02,3.0
230.48,4.0
230.94,1.0
231.38,2.0
231.84,3.0
232.30,4.0
232.76,1.0
233.22,2.0
233.68,3.0
234.14,4.0
234.60,1.0
235.06,2.0
235.52,3.0
235.96,4.0
236.42,1.0
236.88,2.0
237.34,3.0
237.80,4.0
238.26,1.0
238.72,2.0
239.18,3.0
239.64,4.0
240.08,1.0
240.56,2.0
241.00,3.0
241.48,4.0
241.92,1.0
242.40,2.0
242.84,3.0
243.30,4.0
243.76,1.0
244.22,2.0
244.68,3.0
245.14,4.0
245.60,1.0
246.06,2.0
246.52,3.0
246.98,4.0
247.44,1.0
247.92,2.0
248.38,3.0
248.84,4.0
