timestamp,beat
0.24,1.0
0.70,2.0
1.16,3.0
1.64,4.0
2.10,1.0
2.54,2.0
3.02,3.0
3.48,4.0
3.94,1.0
4.38,2.0
4.86,3.0
5.32,4.0
5.78,1.0
6.18,2.0
6.62,3.0
7.04,4.0
7.44,1.0
7.88,2.0
8.28,3.0
8.70,4.0
9.12,1.0
9.56,2.0
9.98,3.0
10.40,4.0
10.80,1.0
11.22,2.0
11.66,3.0
12.06,4.0
12.50,1.0
12.90,2.0
13.34,3.0
13.74,4.0
14.18,1.0
14.62,2.0
15.04,3.0
15.48,4.0
15.92,1.0
16.40,2.0
16.84,3.0
17.32,4.0
17.76,1.0
18.24,2.0
18.70,3.0
19.16,4.0
19.62,1.0
20.08,2.0
20.54,3.0
20.98,4.0
21.46,1.0
21.94,2.0
22.38,3.0
22.84,4.0
23.30,1.0
23.78,2.0
24.24,3.0
24.68,4.0
25.14,1.0
25.60,2.0
26.08,3.0
26.54,4.0
27.00,1.0
27.46,2.0
27.92,3.0
28.36,4.0
28.84,1.0
29.30,2.0
29.76,3.0
30.22,4.0
30.68,1.0
31.14,2.0
31.60,3.0
32.04,4.0
32.50,1.0
33.12,2.0
33.74,3.0
34.34,4.0
34.98,1.0
35.60,2.0
36.20,3.0
36.82,4.0
37.44,1.0
38.06,2.0
38.66,3.0
39.28,4.0
39.88,1.0
40.50,2.0
41.12,3.0
41.74,4.0
42.36,1.0
42.98,2.0
43.58,3.0
44.20,4.0
44.82,1.0
45.42,2.0
46.02,3.0
46.64,4.0
47.28,1.0
47.90,2.0
48.50,3.0
49.12,4.0
49.74,1.0
50.36,2.0
50.96,3.0
51.58,4.0
52.20,1.0
52.80,2.0
53.42,3.0
54.04,4.0
54.66,1.0
55.26,2.0
55.88,3.0
56.50,4.0
57.12,1.0
57.72,2.0
58.34,3.0
58.96,4.0
59.56,1.0
60.18,2.0
60.64,3.0
61.12,4.0
61.58,1.0
62.04,2.0
62.50,3.0
62.96,4.0
63.42,1.0
63.88,2.0
64.34,3.0
64.80,4.0
65.26,1.0
65.72,2.0
66.18,3.0
66.64,4.0
67.12,1.0
67.56,2.0
68.04,3.0
68.48,4.0
68.94,1.0
69.42,2.0
69.88,3.0
70.32,4.0
70.80,1.0
71.26,2.0
71.72,3.0
72.18,4.0
72.64,1.0
73.10,2.0
73.56,3.0
74.02,4.0
74.48,1.0
74.94,2.0
75.40,3.0
75.86,4.0
76.32,1.0
76.78,2.0
77.26,3.0
77.70,4.0
78.18,1.0
78.64,2.0
79.10,3.0
79.56,4.0
80.02,1.0
80.48,2.0
80.94,3.0
81.38,4.0
81.86,1.0
82.32,2.0
82.78,3.0
83.24,4.0
83.70,1.0
84.16,2.0
84.62,3.0
85.10,4.0
85.56,1.0
86.02,2.0
86.48,3.0
86.94,4.0
87.40,1.0
87.86,2.0
88.32,3.0
88.78,4.0
89.24,1.0
89.70,2.0
90.16,3.0
90.62,4.0
91.08,1.0
91.54,2.0
92.00,3.0
92.46,4.0
92.92,1.0
93.38,2.0
93.86,3.0
94.32,4.0
94.78,1.0
95.22,2.0
95.70,3.0
96.16,4.0
96.62,1.0
97.08,2.0
97.54,3.0
98.00,4.0
98.46,1.0
98.92,2.0
99.38,3.0
99.84,4.0
100.30,1.0
100.76,2.0
101.22,3.0
101.68,4.0
102.14,1.0
102.62,2.0
103.08,3.0
103.54,4.0
104.00,1.0
104.46,2.0
104.92,3.0
105.36,4.0
105.84,1.0
106.30,2.0
106.76,3.0
107.22,4.0
107.68,1.0
108.14,2.0
108.60,3.0
109.06,4.0
109.52,1.0
109.98,2.0
110.46,3.0
110.90,4.0
111.36,1.0
111.84,2.0
112.30,3.0
112.76,4.0
113.22,1.0
113.68,2.0
114.14,3.0
114.60,4.0
115.06,1.0
115.52,2.0
115.98,3.0
116.44,4.0
116.90,1.0
117.36,2.0
117.82,3.0
118.28,4.0
118.74,1.0
119.20,2.0
119.66,3.0
120.14,4.0
120.60,1.0
121.06,2.0
121.52,3.0
121.98,4.0
122.44,1.0
122.90,2.0
123.36,3.0
123.82,4.0
124.28,1.0
124.74,2.0
125.20,3.0
125.66,4.0
126.12,1.0
126.58,2.0
127.06,3.0
127.50,4.0
127.96,1.0
128.42,2.0
128.90,3.0
129.36,4.0
129.82,1.0
130.28,2.0
130.74,3.0
131.20,4.0
131.66,1.0
132.10,2.0
132.58,3.0
133.04,4.0
133.50,1.0
133.96,2.0
134.42,3.0
134.88,4.0
135.34,1.0
135.80,2.0
136.28,3.0
136.74,4.0
137.20,1.0
137.66,2.0
138.12,3.0
138.58,4.0
139.04,1.0
139.50,2.0
139.96,3.0
140.42,4.0
140.88,1.0
141.34,2.0
141.80,3.0
142.26,4.0
142.72,1.0
143.18,2.0
143.64,3.0
144.12,4.0
144.58,1.0
145.02,2.0
145.50,3.0
145.96,4.0
146.42,1.0
146.88,2.0
147.34,3.0
147.80,4.0
148.26,1.0
148.70,2.0
149.14,3.0
149.56,4.0
150.02,1.0
150.44,2.0
150.88,3.0
151.34,4.0
151.80,1.0
152.26,2.0
152.72,3.0
153.20,4.0
153.64,1.0
154.12,2.0
154.56,3.0
155.04,4.0
155.50,1.0
155.96,2.0
156.42,3.0
156.88,4.0
157.34,1.0
157.80,2.0
158.26,3.0
158.70,4.0
159.18,1.0
159.64,2.0
160.18,3.0
160.72,4.0
161.28,1.0
161.92,2.0
162.54,3.0
163.14,4.0
163.78,1.0
164.38,2.0
165.02,3.0
165.64,4.0
166.24,1.0
166.88,2.0
167.48,3.0
168.08,4.0
168.72,1.0
169.64,2.0
170.56,3.0
171.48,4.0
172.40,1.0
173.32,2.0
174.24,3.0
175.16,4.0
176.08,1.0
177.02,2.0
177.92,3.0
178.84,4.0
179.76,1.0
180.68,2.0
181.60,3.0
182.52,4.0
183.46,1.0
184.36,2.0
185.30,3.0
186.22,4.0
187.14,1.0
188.06,2.0
188.98,3.0
189.90,4.0
190.84,1.0
191.74,2.0
192.68,3.0
193.60,4.0
194.52,1.0
195.44,2.0
196.36,3.0
197.28,4.0
198.22,1.0
199.14,2.0
200.06,3.0
200.98,4.0
201.90,1.0
202.82,2.0
203.74,3.0
204.66,4.0
205.58,1.0
206.50,2.0
207.44,3.0
208.34,4.0
209.28,1.0
210.18,2.0
211.10,3.0
212.14,4.0
213.14,1.0
