timestamp,beat
0.26,3.0
0.78,4.0
1.28,1.0
1.76,2.0
2.28,3.0
2.78,4.0
3.28,1.0
3.76,2.0
4.28,3.0
4.78,4.0
5.28,1.0
5.78,2.0
6.28,3.0
6.78,4.0
7.28,1.0
7.66,2.0
8.02,3.0
8.42,4.0
8.78,1.0
9.16,2.0
9.56,3.0
9.96,4.0
10.38,1.0
10.76,2.0
11.16,3.0
11.58,4.0
11.96,1.0
12.38,2.0
12.78,3.0
13.18,4.0
13.56,1.0
13.98,2.0
14.38,3.0
14.78,4.0
15.28,1.0
15.78,2.0
16.28,3.0
16.78,4.0
17.28,1.0
17.78,2.0
18.26,3.0
18.78,4.0
19.40,1.0
19.98,2.0
20.58,3.0
21.20,4.0
21.78,1.0
22.40,2.0
22.92,3.0
23.48,4.0
24.02,1.0
24.52,2.0
25.02,3.0
25.52,4.0
26.02,1.0
26.52,2.0
27.02,3.0
27.54,4.0
28.02,1.0
28.52,2.0
29.02,3.0
29.52,4.0
30.02,1.0
30.52,2.0
31.02,3.0
31.52,4.0
32.02,1.0
32.52,2.0
33.02,3.0
33.52,4.0
34.02,1.0
34.52,2.0
35.04,3.0
35.52,4.0
36.02,1.0
36.52,2.0
37.02,3.0
37.52,4.0
38.02,1.0
38.52,2.0
39.02,3.0
39.54,4.0
40.02,1.0
40.52,2.0
41.02,3.0
41.52,4.0
42.02,1.0
42.52,2.0
43.02,3.0
43.52,4.0
44.02,1.0
44.52,2.0
45.02,3.0
45.52,4.0
46.02,1.0
46.52,2.0
47.02,3.0
47.52,4.0
48.02,1.0
48.54,2.0
49.02,3.0
49.56,4.0
50.06,1.0
50.62,2.0
51.16,3.0
51.70,4.0
52.24,1.0
52.78,2.0
53.28,3.0
53.78,4.0
54.26,1.0
54.78,2.0
55.28,3.0
55.78,4.0
56.28,1.0
56.78,2.0
57.28,3.0
57.78,4.0
58.28,1.0
58.78,2.0
59.28,3.0
59.78,4.0
60.26,1.0
60.78,2.0
61.28,3.0
61.78,4.0
62.28,1.0
62.78,2.0
63.20,3.0
63.60,4.0
64.02,1.0
64.52,2.0
65.02,3.0
65.52,4.0
66.02,1.0
66.52,2.0
67.02,3.0
67.54,4.0
68.02,1.0
68.52,2.0
69.02,3.0
69.52,4.0
70.02,1.0
70.54,2.0
71.02,3.0
71.52,4.0
72.02,1.0
72.52,2.0
73.02,3.0
73.52,4.0
74.02,1.0
74.52,2.0
75.02,3.0
75.52,4.0
76.02,1.0
76.52,2.0
77.02,3.0
77.54,4.0
78.02,1.0
78.52,2.0
79.02,3.0
79.54,4.0
80.02,1.0
80.52,2.0
81.02,3.0
81.54,4.0
82.02,1.0
82.52,2.0
83.02,3.0
83.54,4.0
84.02,1.0
84.52,2.0
85.02,3.0
85.52,4.0
86.02,1.0
86.52,2.0
87.02,3.0
87.54,4.0
88.02,1.0
88.52,2.0
89.02,3.0
89.54,4.0
90.02,1.0
90.52,2.0
91.02,3.0
91.52,4.0
92.02,1.0
92.52,2.0
93.02,3.0
93.52,4.0
94.02,1.0
94.52,2.0
95.02,3.0
95.52,4.0
96.02,1.0
96.52,2.0
97.02,3.0
97.52,4.0
98.02,1.0
98.52,2.0
99.02,3.0
99.52,4.0
100.02,1.0
100.52,2.0
101.02,3.0
101.52,4.0
102.02,1.0
102.52,2.0
103.02,3.0
103.54,4.0
104.02,1.0
104.54,2.0
105.02,3.0
105.52,4.0
106.04,1.0
106.62,2.0
107.18,3.0
107.70,4.0
108.26,1.0
108.78,2.0
109.28,3.0
109.78,4.0
110.26,1.0
110.78,2.0
111.28,3.0
111.78,4.0
112.28,1.0
112.78,2.0
113.28,3.0
