timestamp,beat
0.08,1.0
0.72,2.0
1.38,3.0
2.00,4.0
2.66,1.0
3.28,2.0
3.94,3.0
4.58,4.0
5.20,1.0
5.84,2.0
6.48,3.0
7.16,4.0
7.82,1.0
8.48,2.0
9.16,3.0
9.82,4.0
10.48,1.0
11.14,2.0
11.82,3.0
12.48,4.0
13.16,1.0
13.82,2.0
14.48,3.0
15.16,4.0
15.82,1.0
16.48,2.0
17.16,3.0
17.82,4.0
18.48,1.0
19.16,2.0
19.82,3.0
20.48,4.0
21.16,1.0
21.82,2.0
22.48,3.0
23.16,4.0
23.82,1.0
24.48,2.0
25.16,3.0
25.82,4.0
26.52,1.0
27.28,2.0
27.98,3.0
28.66,4.0
29.32,1.0
30.00,2.0
30.66,3.0
31.32,4.0
31.98,1.0
32.66,2.0
33.32,3.0
34.00,4.0
34.66,1.0
35.32,2.0
35.98,3.0
36.66,4.0
37.32,1.0
38.00,2.0
38.66,3.0
39.32,4.0
39.98,1.0
40.64,2.0
41.34,3.0
42.00,4.0
42.66,1.0
43.32,2.0
43.98,3.0
44.66,4.0
45.32,1.0
45.96,2.0
46.66,3.0
47.32,4.0
48.00,1.0
48.66,2.0
49.32,3.0
50.00,4.0
50.66,1.0
51.32,2.0
51.98,3.0
52.64,4.0
53.32,1.0
53.98,2.0
54.64,3.0
55.32,4.0
55.98,1.0
56.64,2.0
57.32,3.0
57.98,4.0
58.66,1.0
59.32,2.0
59.96,3.0
60.64,4.0
61.32,1.0
61.98,2.0
62.66,3.0
63.32,4.0
63.98,1.0
64.64,2.0
65.32,3.0
65.98,4.0
66.66,1.0
67.32,2.0
68.00,3.0
68.66,4.0
69.32,1.0
69.98,2.0
70.62,3.0
71.32,4.0
71.98,1.0
72.66,2.0
73.32,3.0
74.00,4.0
74.66,1.0
75.32,2.0
75.98,3.0
76.66,4.0
77.32,1.0
78.00,2.0
78.64,3.0
79.32,4.0
80.00,1.0
80.66,2.0
81.30,3.0
81.98,4.0
82.66,1.0
83.32,2.0
83.98,3.0
84.66,4.0
85.32,1.0
86.00,2.0
86.66,3.0
87.32,4.0
88.00,1.0
88.66,2.0
89.32,3.0
90.00,4.0
90.64,1.0
91.32,2.0
91.96,3.0
92.66,4.0
93.32,1.0
93.98,2.0
94.62,3.0
95.32,4.0
96.00,1.0
96.66,2.0
97.32,3.0
97.98,4.0
98.66,1.0
99.32,2.0
99.98,3.0
100.66,4.0
101.34,1.0
101.98,2.0
102.62,3.0
103.32,4.0
104.00,1.0
104.66,2.0
105.32,3.0
105.98,4.0
106.66,1.0
107.28,2.0
107.96,3.0
108.64,4.0
109.32,1.0
109.94,2.0
110.64,3.0
111.32,4.0
112.00,1.0
112.66,2.0
113.32,3.0
114.00,4.0
114.66,1.0
115.32,2.0
116.00,3.0
116.66,4.0
117.32,1.0
118.00,2.0
118.66,3.0
119.32,4.0
119.98,1.0
120.66,2.0
121.32,3.0
122.00,4.0
122.66,1.0
123.34,2.0
124.00,3.0
124.66,4.0
125.32,1.0
126.00,2.0
126.66,3.0
127.32,4.0
127.98,1.0
128.66,2.0
129.32,3.0
130.00,4.0
130.66,1.0
131.30,2.0
131.98,3.0
132.66,4.0
133.32,1.0
134.02,2.0
134.68,3.0
135.34,4.0
135.98,1.0
136.66,2.0
137.30,3.0
137.98,4.0
138.66,1.0
139.32,2.0
139.98,3.0
140.64,4.0
141.32,1.0
141.98,2.0
142.66,3.0
143.34,4.0
143.98,1.0
144.66,2.0
145.32,3.0
146.00,4.0
146.66,1.0
147.32,2.0
148.00,3.0
148.66,4.0
149.32,1.0
149.94,2.0
150.66,3.0
151.32,4.0
151.98,1.0
152.66,2.0
153.32,3.0
154.00,4.0
154.66,1.0
155.32,2.0
155.98,3.0
156.66,4.0
157.32,1.0
157.98,2.0
158.62,3.0
159.32,4.0
160.00,1.0
160.64,2.0
161.28,3.0
161.94,4.0
162.66,1.0
163.32,2.0
163.96,3.0
164.64,4.0
165.30,1.0
165.98,2.0
166.64,3.0
167.32,4.0
168.00,1.0
168.66,2.0
169.28,3.0
169.98,4.0
170.64,1.0
171.32,2.0
172.00,3.0
172.64,4.0
173.30,1.0
173.94,2.0
174.66,3.0
175.32,4.0
175.98,1.0
176.66,2.0
177.28,3.0
177.98,4.0
178.66,1.0
179.32,2.0
179.96,3.0
180.64,4.0
181.32,1.0
181.98,2.0
182.62,3.0
183.28,4.0
184.00,1.0
184.66,2.0
185.28,3.0
185.98,4.0
186.66,1.0
187.32,2.0
187.98,3.0
188.66,4.0
189.32,1.0
189.98,2.0
190.62,3.0
191.32,4.0
192.00,1.0
192.66,2.0
193.32,3.0
193.98,4.0
194.62,1.0
195.28,2.0
195.96,3.0
196.66,4.0
197.30,1.0
197.98,2.0
198.64,3.0
199.32,4.0
199.98,1.0
200.64,2.0
201.36,3.0
202.00,4.0
202.66,1.0
203.32,2.0
204.02,3.0
204.64,4.0
205.32,1.0
206.04,2.0
206.68,3.0
207.32,4.0
208.02,1.0
208.66,2.0
209.34,3.0
210.02,4.0
210.68,1.0
211.38,2.0
212.00,3.0
212.66,4.0
213.32,1.0
213.98,2.0
214.66,3.0
215.32,4.0
216.00,1.0
216.62,2.0
217.34,3.0
218.02,4.0
218.68,1.0
219.42,2.0
220.14,3.0
220.86,4.0
221.58,1.0
222.24,2.0
222.94,3.0
223.58,4.0
224.26,1.0
224.88,2.0
225.54,3.0
226.24,4.0
226.88,1.0
227.52,2.0
228.18,3.0
228.82,4.0
229.44,1.0
230.10,2.0
230.72,3.0
231.38,4.0
232.02,1.0
232.66,2.0
233.30,3.0
233.92,4.0
