timestamp,beat
0.26,1.0
0.78,2.0
1.30,3.0
1.82,4.0
2.32,1.0
2.86,2.0
3.36,3.0
3.90,4.0
4.42,1.0
4.94,2.0
5.44,3.0
5.94,4.0
6.48,1.0
7.00,2.0
7.52,3.0
8.04,4.0
8.56,1.0
9.08,2.0
9.60,3.0
10.10,4.0
10.62,1.0
11.14,2.0
11.66,3.0
12.18,4.0
12.70,1.0
13.22,2.0
13.74,3.0
14.26,4.0
14.76,1.0
15.28,2.0
15.80,3.0
16.32,4.0
16.84,1.0
17.36,2.0
17.88,3.0
18.40,4.0
18.90,1.0
19.42,2.0
19.94,3.0
20.44,4.0
20.98,1.0
21.78,2.0
22.52,3.0
23.04,4.0
23.56,1.0
24.08,2.0
24.60,3.0
25.12,4.0
25.64,1.0
26.16,2.0
26.68,3.0
27.20,4.0
27.70,1.0
28.22,2.0
28.74,3.0
29.26,4.0
29.78,1.0
30.30,2.0
30.82,3.0
31.34,4.0
31.86,1.0
32.36,2.0
32.86,3.0
33.40,4.0
33.92,1.0
34.44,2.0
34.96,3.0
35.48,4.0
35.98,1.0
36.46,2.0
37.00,3.0
37.52,4.0
38.06,1.0
38.80,2.0
39.62,3.0
40.40,4.0
41.16,1.0
41.68,2.0
42.20,3.0
42.72,4.0
43.24,1.0
43.76,2.0
44.26,3.0
44.78,4.0
45.30,1.0
45.84,2.0
46.34,3.0
46.86,4.0
47.38,1.0
47.90,2.0
48.42,3.0
48.94,4.0
49.46,1.0
49.98,2.0
50.48,3.0
51.00,4.0
51.52,1.0
52.02,2.0
52.54,3.0
53.06,4.0
53.60,1.0
54.12,2.0
54.62,3.0
55.14,4.0
55.66,1.0
56.18,2.0
56.68,3.0
57.20,4.0
57.72,1.0
58.24,2.0
58.76,3.0
59.28,4.0
59.80,1.0
60.32,2.0
60.84,3.0
61.36,4.0
61.88,1.0
62.40,2.0
62.92,3.0
63.42,4.0
63.94,1.0
64.46,2.0
64.96,3.0
65.50,4.0
66.02,1.0
66.54,2.0
67.04,3.0
67.58,4.0
68.08,1.0
68.60,2.0
69.10,3.0
69.64,4.0
70.16,1.0
70.68,2.0
71.20,3.0
71.72,4.0
72.24,1.0
72.76,2.0
73.26,3.0
73.78,4.0
74.30,1.0
74.82,2.0
75.34,3.0
75.86,4.0
76.38,1.0
76.88,2.0
77.40,3.0
77.92,4.0
78.44,1.0
78.96,2.0
79.46,3.0
80.00,4.0
80.52,1.0
81.04,2.0
81.56,3.0
82.06,4.0
82.60,1.0
83.10,2.0
83.62,3.0
84.14,4.0
84.66,1.0
85.18,2.0
85.68,3.0
86.22,4.0
86.74,1.0
87.24,2.0
87.76,3.0
88.28,4.0
88.80,1.0
89.32,2.0
89.84,3.0
90.36,4.0
90.88,1.0
91.40,2.0
91.90,3.0
92.42,4.0
92.96,1.0
93.46,2.0
93.96,3.0
94.48,4.0
94.98,1.0
95.50,2.0
96.02,3.0
96.56,4.0
97.08,1.0
97.60,2.0
98.12,3.0
98.64,4.0
99.14,1.0
99.68,2.0
100.20,3.0
100.72,4.0
101.22,1.0
101.74,2.0
102.26,3.0
102.78,4.0
103.30,1.0
103.82,2.0
104.32,3.0
104.84,4.0
105.38,1.0
105.88,2.0
106.40,3.0
106.92,4.0
107.44,1.0
107.96,2.0
108.44,3.0
108.98,4.0
109.50,1.0
110.02,2.0
110.54,3.0
111.06,4.0
111.58,1.0
112.10,2.0
112.62,3.0
113.14,4.0
113.66,1.0
114.18,2.0
114.68,3.0
115.20,4.0
115.72,1.0
116.24,2.0
116.74,3.0
117.26,4.0
117.80,1.0
118.32,2.0
118.84,3.0
119.34,4.0
119.88,1.0
120.38,2.0
120.90,3.0
121.42,4.0
121.94,1.0
122.46,2.0
122.98,3.0
123.50,4.0
124.02,1.0
124.52,2.0
125.02,3.0
125.54,4.0
126.08,1.0
126.60,2.0
127.12,3.0
127.62,4.0
128.16,1.0
128.68,2.0
129.18,3.0
129.72,4.0
130.20,1.0
130.72,2.0
131.24,3.0
131.76,4.0
132.26,1.0
132.80,2.0
133.32,3.0
133.82,4.0
134.36,1.0
134.88,2.0
135.40,3.0
135.92,4.0
136.44,1.0
136.94,2.0
137.48,3.0
138.00,4.0
138.50,1.0
139.04,2.0
139.54,3.0
140.06,4.0
140.58,1.0
141.10,2.0
141.62,3.0
142.10,4.0
142.62,1.0
143.14,2.0
143.68,3.0
144.18,4.0
144.72,1.0
145.24,2.0
145.76,3.0
146.26,4.0
146.80,1.0
147.32,2.0
147.80,3.0
148.34,4.0
148.86,1.0
149.38,2.0
149.90,3.0
150.42,4.0
150.94,1.0
151.46,2.0
151.96,3.0
152.48,4.0
153.00,1.0
153.52,2.0
154.04,3.0
154.56,4.0
155.08,1.0
155.60,2.0
156.10,3.0
156.62,4.0
157.14,1.0
157.66,2.0
158.18,3.0
158.68,4.0
159.22,1.0
159.74,2.0
160.24,3.0
160.78,4.0
161.30,1.0
161.80,2.0
162.32,3.0
162.86,4.0
163.36,1.0
163.88,2.0
164.40,3.0
164.90,4.0
165.44,1.0
165.94,2.0
166.48,3.0
166.98,4.0
167.50,1.0
168.02,2.0
168.54,3.0
169.06,4.0
169.56,1.0
170.10,2.0
170.60,3.0
171.12,4.0
171.66,1.0
172.16,2.0
172.68,3.0
173.16,4.0
173.70,1.0
174.22,2.0
174.74,3.0
175.26,4.0
175.78,1.0
176.30,2.0
176.82,3.0
177.32,4.0
177.84,1.0
178.36,2.0
178.90,3.0
179.42,4.0
179.94,1.0
180.46,2.0
180.96,3.0
181.48,4.0
182.00,1.0
182.52,2.0
183.04,3.0
183.56,4.0
184.08,1.0
184.60,2.0
185.10,3.0
185.62,4.0
186.14,1.0
186.66,2.0
187.18,3.0
187.70,4.0
188.20,1.0
188.74,2.0
189.24,3.0
189.76,4.0
190.28,1.0
190.80,2.0
191.32,3.0
191.84,4.0
192.36,1.0
192.88,2.0
193.40,3.0
193.92,4.0
194.40,1.0
194.92,2.0
195.46,3.0
195.98,4.0
196.50,1.0
197.02,2.0
197.54,3.0
198.04,4.0
198.58,1.0
199.08,2.0
199.60,3.0
200.12,4.0
200.64,1.0
201.16,2.0
201.66,3.0
202.18,4.0
202.70,1.0
203.22,2.0
203.74,3.0
204.26,4.0
204.78,1.0
205.30,2.0
205.82,3.0
206.34,4.0
206.86,1.0
207.38,2.0
207.88,3.0
208.40,4.0
208.92,1.0
209.42,2.0
209.96,3.0
210.48,4.0
211.00,1.0
211.50,2.0
212.04,3.0
212.56,4.0
213.06,1.0
213.58,2.0
214.10,3.0
214.62,4.0
215.14,1.0
215.66,2.0
216.18,3.0
216.70,4.0
217.20,1.0
217.72,2.0
218.24,3.0
218.76,4.0
219.26,1.0
219.74,2.0
220.26,3.0
220.80,4.0
221.30,1.0
221.84,2.0
222.36,3.0
222.86,4.0
223.40,1.0
223.90,2.0
224.42,3.0
224.94,4.0
225.48,1.0
226.00,2.0
226.50,3.0
227.04,4.0
227.54,1.0
228.08,2.0
228.58,3.0
229.12,4.0
229.64,1.0
230.16,2.0
230.68,3.0
231.18,4.0
231.70,1.0
232.22,2.0
232.74,3.0
233.26,4.0
233.78,1.0
234.30,2.0
234.82,3.0
