timestamp,beat
0.06,4.0
0.52,1.0
0.98,2.0
1.46,3.0
1.90,4.0
2.36,1.0
2.82,2.0
3.28,3.0
3.76,4.0
4.20,1.0
4.68,2.0
5.10,3.0
5.54,4.0
5.98,1.0
6.44,2.0
6.88,3.0
7.30,4.0
7.74,1.0
8.18,2.0
8.62,3.0
9.08,4.0
9.50,1.0
9.96,2.0
10.38,3.0
10.82,4.0
11.26,1.0
11.72,2.0
12.16,3.0
12.60,4.0
13.02,1.0
13.46,2.0
13.92,3.0
14.36,4.0
14.82,1.0
15.28,2.0
15.74,3.0
16.22,4.0
16.66,1.0
17.14,2.0
17.60,3.0
18.06,4.0
18.52,1.0
18.98,2.0
19.44,3.0
19.88,4.0
20.36,1.0
20.82,2.0
21.28,3.0
21.74,4.0
22.22,1.0
22.68,2.0
23.16,3.0
23.60,4.0
24.06,1.0
24.52,2.0
24.98,3.0
25.44,4.0
25.90,1.0
26.36,2.0
26.82,3.0
27.28,4.0
27.76,1.0
28.22,2.0
28.66,3.0
29.14,4.0
29.60,1.0
30.06,2.0
30.52,3.0
30.98,4.0
31.44,1.0
31.90,2.0
32.36,3.0
32.82,4.0
33.28,1.0
33.74,2.0
34.22,3.0
34.68,4.0
35.14,1.0
35.60,2.0
36.06,3.0
36.50,4.0
36.98,1.0
37.44,2.0
37.90,3.0
38.36,4.0
38.82,1.0
39.28,2.0
39.74,3.0
40.20,4.0
40.66,1.0
41.14,2.0
41.58,3.0
42.06,4.0
42.52,1.0
42.98,2.0
43.44,3.0
43.90,4.0
44.36,1.0
44.82,2.0
45.28,3.0
45.74,4.0
46.20,1.0
46.66,2.0
47.10,3.0
47.56,4.0
48.04,1.0
48.50,2.0
48.94,3.0
49.44,4.0
49.90,1.0
50.36,2.0
50.82,3.0
51.28,4.0
51.74,1.0
52.22,2.0
52.66,3.0
53.14,4.0
53.58,1.0
54.06,2.0
54.50,3.0
54.98,4.0
55.44,1.0
55.90,2.0
56.36,3.0
56.82,4.0
57.26,1.0
57.74,2.0
58.20,3.0
58.66,4.0
59.12,1.0
59.60,2.0
60.04,3.0
60.52,4.0
60.98,1.0
61.44,2.0
61.90,3.0
62.36,4.0
62.82,1.0
63.28,2.0
63.76,3.0
64.22,4.0
64.66,1.0
65.14,2.0
65.60,3.0
66.06,4.0
66.52,1.0
66.98,2.0
67.44,3.0
67.90,4.0
68.36,1.0
68.82,2.0
69.28,3.0
69.74,4.0
70.20,1.0
70.66,2.0
71.12,3.0
71.60,4.0
72.06,1.0
72.52,2.0
72.98,3.0
73.44,4.0
73.90,1.0
74.34,2.0
74.82,3.0
75.28,4.0
75.74,1.0
76.20,2.0
76.66,3.0
77.12,4.0
77.58,1.0
78.06,2.0
78.52,3.0
78.98,4.0
79.44,1.0
79.90,2.0
80.36,3.0
