timestamp,beat
0.03,1.0
0.53,2.0
1.02,3.0
1.51,4.0
2.03,1.0
2.54,2.0
3.03,3.0
3.52,4.0
4.03,1.0
4.54,2.0
5.02,3.0
5.52,4.0
6.03,1.0
6.54,2.0
7.04,3.0
7.51,4.0
8.02,1.0
8.54,2.0
9.03,3.0
9.57,4.0
10.05,1.0
10.55,2.0
11.05,3.0
11.57,4.0
12.04,1.0
12.54,2.0
13.06,3.0
13.56,4.0
14.03,1.0
14.54,2.0
15.01,3.0
15.52,4.0
16.03,1.0
16.53,2.0
17.04,3.0
17.53,4.0
18.03,1.0
18.53,2.0
19.04,3.0
19.53,4.0
20.03,1.0
20.53,2.0
21.05,3.0
21.55,4.0
22.03,1.0
22.54,2.0
23.03,3.0
23.56,4.0
24.03,1.0
24.53,2.0
25.03,3.0
25.53,4.0
26.03,1.0
26.53,2.0
27.03,3.0
27.53,4.0
28.03,1.0
28.53,2.0
29.03,3.0
29.53,4.0
30.03,1.0
30.53,2.0
31.03,3.0
31.53,4.0
32.03,1.0
32.53,2.0
33.03,3.0
33.53,4.0
34.03,1.0
34.53,2.0
35.03,3.0
35.53,4.0
36.03,1.0
36.53,2.0
37.03,3.0
37.53,4.0
38.03,1.0
38.53,2.0
39.03,3.0
39.53,4.0
40.03,1.0
40.53,2.0
41.03,3.0
41.53,4.0
42.03,1.0
42.53,2.0
43.03,3.0
43.53,4.0
44.03,1.0
44.53,2.0
45.03,3.0
45.53,4.0
46.03,1.0
46.53,2.0
47.03,3.0
47.53,4.0
48.03,1.0
48.54,2.0
49.03,3.0
49.57,4.0
50.05,1.0
50.55,2.0
51.05,3.0
51.57,4.0
52.04,1.0
52.54,2.0
53.06,3.0
53.56,4.0
54.02,1.0
54.54,2.0
55.04,3.0
55.52,4.0
56.03,1.0
56.53,2.0
57.02,3.0
57.53,4.0
58.03,1.0
58.54,2.0
59.03,3.0
59.52,4.0
60.03,1.0
60.53,2.0
61.05,3.0
61.55,4.0
62.03,1.0
62.54,2.0
63.04,3.0
63.55,4.0
64.03,1.0
64.53,2.0
65.03,3.0
65.53,4.0
66.03,1.0
66.53,2.0
67.03,3.0
67.53,4.0
68.03,1.0
68.53,2.0
69.03,3.0
69.53,4.0
70.03,1.0
70.53,2.0
71.03,3.0
71.53,4.0
72.03,1.0
72.53,2.0
73.03,3.0
73.53,4.0
74.03,1.0
74.53,2.0
75.03,3.0
75.53,4.0
76.03,1.0
76.53,2.0
77.03,3.0
77.53,4.0
78.03,1.0
78.53,2.0
79.03,3.0
79.55,4.0
80.03,1.0
80.53,2.0
81.03,3.0
81.53,4.0
82.03,1.0
82.53,2.0
83.03,3.0
83.53,4.0
84.03,1.0
84.52,2.0
85.02,3.0
85.53,4.0
86.03,1.0
86.53,2.0
87.03,3.0
87.53,4.0
88.03,1.0
88.53,2.0
89.03,3.0
89.53,4.0
90.03,1.0
90.53,2.0
91.03,3.0
91.53,4.0
92.03,1.0
92.53,2.0
93.03,3.0
93.53,4.0
94.03,1.0
94.53,2.0
95.03,3.0
95.53,4.0
96.03,1.0
96.53,2.0
97.03,3.0
97.53,4.0
98.03,1.0
98.53,2.0
99.03,3.0
99.53,4.0
100.03,1.0
100.53,2.0
101.03,3.0
101.53,4.0
102.03,1.0
102.53,2.0
103.03,3.0
103.53,4.0
104.03,1.0
104.53,2.0
105.02,3.0
105.56,4.0
106.05,1.0
106.55,2.0
107.05,3.0
107.56,4.0
108.04,1.0
108.54,2.0
109.06,3.0
109.56,4.0
110.02,1.0
110.54,2.0
111.02,3.0
111.52,4.0
112.03,1.0
112.53,2.0
113.03,3.0
113.53,4.0
114.03,1.0
114.54,2.0
115.03,3.0
115.52,4.0
116.03,1.0
116.53,2.0
117.05,3.0
117.55,4.0
118.03,1.0
118.54,2.0
119.03,3.0
119.55,4.0
120.03,1.0
120.53,2.0
121.03,3.0
121.53,4.0
122.03,1.0
122.53,2.0
123.03,3.0
123.53,4.0
124.03,1.0
124.53,2.0
125.03,3.0
125.53,4.0
126.03,1.0
126.53,2.0
127.03,3.0
127.53,4.0
128.03,1.0
128.53,2.0
129.03,3.0
129.53,4.0
130.03,1.0
130.53,2.0
131.03,3.0
131.53,4.0
132.03,1.0
132.53,2.0
133.03,3.0
133.53,4.0
134.03,1.0
134.53,2.0
135.03,3.0
135.53,4.0
136.03,1.0
136.53,2.0
137.03,3.0
137.53,4.0
138.03,1.0
