timestamp,beat
0.06,1.0
0.52,2.0
0.98,3.0
1.45,4.0
1.91,1.0
2.37,2.0
2.83,3.0
3.29,4.0
3.75,1.0
4.22,2.0
4.68,3.0
5.14,4.0
5.60,1.0
6.08,2.0
6.53,3.0
7.01,4.0
7.49,1.0
7.99,2.0
8.46,3.0
8.92,4.0
9.38,1.0
9.84,2.0
10.29,3.0
10.77,4.0
11.20,1.0
11.66,2.0
12.12,3.0
12.57,4.0
13.00,1.0
13.46,2.0
13.91,3.0
14.37,4.0
14.82,1.0
15.28,2.0
15.75,3.0
16.23,4.0
16.68,1.0
17.14,2.0
17.60,3.0
18.06,4.0
18.52,1.0
18.97,2.0
19.43,3.0
19.89,4.0
20.36,1.0
20.83,2.0
21.29,3.0
21.75,4.0
22.22,1.0
22.68,2.0
23.15,3.0
23.60,4.0
24.06,1.0
24.52,2.0
24.98,3.0
25.44,4.0
25.91,1.0
26.37,2.0
26.84,3.0
27.29,4.0
27.75,1.0
28.21,2.0
28.66,3.0
29.13,4.0
29.60,1.0
30.06,2.0
30.52,3.0
30.98,4.0
31.45,1.0
31.90,2.0
32.36,3.0
32.83,4.0
33.29,1.0
33.75,2.0
34.20,3.0
34.67,4.0
35.13,1.0
35.59,2.0
36.06,3.0
36.52,4.0
36.98,1.0
37.44,2.0
37.90,3.0
38.37,4.0
38.82,1.0
39.29,2.0
39.75,3.0
40.21,4.0
40.67,1.0
41.14,2.0
41.58,3.0
42.06,4.0
42.52,1.0
42.98,2.0
43.44,3.0
43.90,4.0
44.36,1.0
44.83,2.0
45.29,3.0
45.75,4.0
46.21,1.0
46.67,2.0
47.13,3.0
47.60,4.0
48.05,1.0
48.52,2.0
48.97,3.0
49.44,4.0
49.90,1.0
50.37,2.0
50.83,3.0
51.29,4.0
51.75,1.0
52.21,2.0
52.67,3.0
53.14,4.0
53.59,1.0
54.06,2.0
54.51,3.0
54.98,4.0
55.44,1.0
55.90,2.0
56.36,3.0
56.83,4.0
57.29,1.0
57.75,2.0
58.21,3.0
58.67,4.0
59.13,1.0
59.60,2.0
60.06,3.0
60.52,4.0
60.98,1.0
61.44,2.0
61.90,3.0
62.37,4.0
62.82,1.0
63.29,2.0
63.75,3.0
64.21,4.0
64.67,1.0
65.14,2.0
65.60,3.0
66.06,4.0
66.52,1.0
66.98,2.0
67.44,3.0
67.90,4.0
68.36,1.0
68.83,2.0
69.29,3.0
69.75,4.0
70.21,1.0
70.67,2.0
71.13,3.0
71.60,4.0
72.06,1.0
72.52,2.0
72.98,3.0
73.44,4.0
73.90,1.0
74.36,2.0
74.83,3.0
75.29,4.0
75.75,1.0
76.21,2.0
76.67,3.0
77.13,4.0
77.59,1.0
78.06,2.0
78.52,3.0
78.98,4.0
79.44,1.0
79.90,2.0
80.36,3.0
80.83,4.0
81.29,1.0
81.75,2.0
82.22,3.0
82.68,4.0
83.14,1.0
83.60,2.0
84.05,3.0
84.52,4.0
85.02,1.0
85.48,2.0
85.94,3.0
86.39,4.0
86.87,1.0
87.33,2.0
87.79,3.0
88.23,4.0
88.67,1.0
89.14,2.0
89.60,3.0
90.06,4.0
90.52,1.0
90.98,2.0
91.44,3.0
91.91,4.0
92.37,1.0
92.83,2.0
93.29,3.0
93.75,4.0
94.21,1.0
94.67,2.0
95.13,3.0
95.60,4.0
96.06,1.0
96.52,2.0
97.00,3.0
97.45,4.0
97.90,1.0
98.37,2.0
98.83,3.0
99.29,4.0
99.75,1.0
100.21,2.0
100.66,3.0
101.14,4.0
101.59,1.0
102.06,2.0
102.51,3.0
102.98,4.0
103.44,1.0
103.90,2.0
104.35,3.0
104.83,4.0
105.28,1.0
105.75,2.0
106.21,3.0
106.67,4.0
107.13,1.0
107.60,2.0
108.06,3.0
108.52,4.0
108.98,1.0
109.44,2.0
109.90,3.0
110.36,4.0
110.82,1.0
111.29,2.0
111.74,3.0
112.21,4.0
112.67,1.0
113.14,2.0
113.59,3.0
114.06,4.0
114.52,1.0
114.98,2.0
115.44,3.0
115.91,4.0
116.36,1.0
116.83,2.0
117.29,3.0
117.75,4.0
118.20,1.0
118.68,2.0
119.14,3.0
119.60,4.0
120.06,1.0
120.52,2.0
120.98,3.0
121.44,4.0
121.90,1.0
122.37,2.0
122.82,3.0
123.29,4.0
123.75,1.0
124.21,2.0
124.67,3.0
125.14,4.0
125.59,1.0
126.06,2.0
126.52,3.0
126.98,4.0
127.43,1.0
127.90,2.0
128.36,3.0
128.83,4.0
129.28,1.0
129.75,2.0
130.21,3.0
130.67,4.0
131.13,1.0
131.60,2.0
132.06,3.0
132.52,4.0
132.98,1.0
133.44,2.0
133.90,3.0
134.37,4.0
134.83,1.0
135.29,2.0
135.75,3.0
136.21,4.0
136.67,1.0
137.13,2.0
137.59,3.0
138.06,4.0
138.52,1.0
138.98,2.0
139.44,3.0
139.91,4.0
140.36,1.0
140.83,2.0
141.28,3.0
141.75,4.0
142.21,1.0
142.67,2.0
143.13,3.0
143.60,4.0
144.05,1.0
144.52,2.0
144.98,3.0
145.44,4.0
145.90,1.0
146.37,2.0
146.83,3.0
147.29,4.0
147.75,1.0
148.21,2.0
148.67,3.0
149.14,4.0
149.60,1.0
150.06,2.0
150.52,3.0
150.98,4.0
151.44,1.0
151.90,2.0
