timestamp,beat
0.24,4.0
0.70,1.0
1.17,2.0
1.64,3.0
2.09,4.0
2.54,1.0
3.01,2.0
3.48,3.0
3.93,4.0
4.38,1.0
4.86,2.0
5.32,3.0
5.76,4.0
6.24,1.0
6.68,2.0
7.14,3.0
7.62,4.0
8.06,1.0
8.53,2.0
9.00,3.0
9.47,4.0
9.94,1.0
10.39,2.0
10.86,3.0
11.31,4.0
11.76,1.0
12.24,2.0
12.70,3.0
13.14,4.0
13.60,1.0
14.08,2.0
14.56,3.0
15.00,4.0
15.47,1.0
15.93,2.0
16.40,3.0
16.85,4.0
17.31,1.0
17.77,2.0
18.24,3.0
18.69,4.0
19.16,1.0
19.62,2.0
20.08,3.0
20.54,4.0
21.01,1.0
21.46,2.0
21.94,3.0
22.39,4.0
22.85,1.0
23.31,2.0
23.78,3.0
24.23,4.0
24.69,1.0
25.14,2.0
25.62,3.0
26.07,4.0
26.52,1.0
27.00,2.0
27.47,3.0
27.92,4.0
28.38,1.0
28.84,2.0
29.31,3.0
29.76,4.0
30.23,1.0
30.68,2.0
31.14,3.0
31.60,4.0
32.06,1.0
32.52,2.0
32.98,3.0
33.44,4.0
33.90,1.0
34.36,2.0
34.83,3.0
35.28,4.0
35.75,1.0
36.20,2.0
36.67,3.0
37.13,4.0
37.59,1.0
38.05,2.0
38.52,3.0
38.97,4.0
39.44,1.0
39.89,2.0
40.36,3.0
40.82,4.0
41.28,1.0
41.74,2.0
42.20,3.0
42.66,4.0
43.12,1.0
43.58,2.0
44.05,3.0
44.51,4.0
44.97,1.0
45.43,2.0
45.90,3.0
46.36,4.0
46.82,1.0
47.28,2.0
47.74,3.0
48.20,4.0
48.66,1.0
49.12,2.0
49.58,3.0
50.04,4.0
50.51,1.0
50.96,2.0
51.43,3.0
51.89,4.0
52.35,1.0
52.81,2.0
53.27,3.0
53.73,4.0
54.19,1.0
54.65,2.0
55.12,3.0
55.57,4.0
56.04,1.0
56.50,2.0
56.96,3.0
57.42,4.0
57.88,1.0
58.34,2.0
58.80,3.0
59.26,4.0
59.73,1.0
60.18,2.0
60.63,3.0
61.12,4.0
61.58,1.0
62.03,2.0
62.49,3.0
62.95,4.0
63.42,1.0
63.87,2.0
64.34,3.0
64.80,4.0
65.26,1.0
65.72,2.0
66.19,3.0
66.64,4.0
67.11,1.0
67.56,2.0
68.03,3.0
68.49,4.0
68.95,1.0
69.41,2.0
69.87,3.0
70.33,4.0
70.79,1.0
71.25,2.0
71.72,3.0
72.17,4.0
72.64,1.0
73.10,2.0
73.56,3.0
74.02,4.0
74.48,1.0
74.94,2.0
75.40,3.0
75.87,4.0
76.33,1.0
76.79,2.0
77.25,3.0
77.71,4.0
78.17,1.0
78.63,2.0
79.10,3.0
79.55,4.0
80.02,1.0
80.47,2.0
80.94,3.0
81.40,4.0
81.86,1.0
82.32,2.0
82.78,3.0
83.24,4.0
83.70,1.0
84.16,2.0
84.63,3.0
85.09,4.0
85.55,1.0
86.01,2.0
86.47,3.0
86.93,4.0
87.39,1.0
87.85,2.0
88.32,3.0
88.77,4.0
89.24,1.0
89.70,2.0
90.16,3.0
90.62,4.0
91.08,1.0
91.54,2.0
92.01,3.0
92.47,4.0
92.93,1.0
93.38,2.0
93.85,3.0
94.31,4.0
94.77,1.0
95.23,2.0
95.69,3.0
96.15,4.0
96.62,1.0
97.07,2.0
97.54,3.0
98.00,4.0
98.46,1.0
98.92,2.0
99.38,3.0
99.84,4.0
100.31,1.0
100.76,2.0
101.23,3.0
101.68,4.0
102.15,1.0
102.61,2.0
103.07,3.0
103.53,4.0
103.99,1.0
104.44,2.0
104.92,3.0
105.36,4.0
105.84,1.0
106.29,2.0
106.76,3.0
107.22,4.0
107.68,1.0
108.14,2.0
108.60,3.0
109.06,4.0
109.52,1.0
109.98,2.0
110.45,3.0
110.91,4.0
111.37,1.0
111.83,2.0
112.29,3.0
112.75,4.0
113.22,1.0
113.67,2.0
114.13,3.0
114.59,4.0
115.06,1.0
115.52,2.0
115.98,3.0
116.44,4.0
116.90,1.0
117.36,2.0
117.82,3.0
118.29,4.0
118.75,1.0
119.20,2.0
119.65,3.0
120.14,4.0
120.59,1.0
121.05,2.0
121.51,3.0
121.97,4.0
122.44,1.0
122.90,2.0
123.36,3.0
123.82,4.0
124.28,1.0
124.74,2.0
125.20,3.0
125.66,4.0
126.13,1.0
126.58,2.0
127.05,3.0
127.51,4.0
127.97,1.0
128.43,2.0
128.89,3.0
129.35,4.0
129.81,1.0
130.27,2.0
130.74,3.0
131.19,4.0
131.66,1.0
132.12,2.0
132.58,3.0
133.04,4.0
133.50,1.0
133.96,2.0
134.43,3.0
134.88,4.0
135.35,1.0
135.80,2.0
136.27,3.0
136.73,4.0
137.19,1.0
137.65,2.0
138.11,3.0
138.57,4.0
139.04,1.0
139.49,2.0
139.96,3.0
140.42,4.0
140.88,1.0
141.34,2.0
